grade,model,prompt,skill,k,q0,q1,r
4,claude-sonnet-4-5-20250929,explicit_decision,Measurement & Data,0,0.8846153846153846,0.04326923076923077,0.9510869565217391
4,claude-sonnet-4-5-20250929,explicit_decision,Measurement & Data,1,0.8846153846153845,0.8626373626373626,0.024844720496894394
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,0,0.92,0.065,0.9293478260869564
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,1,0.92,0.9257142857142858,-0.006211180124223591
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,0,1.0,0.0,1.0
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,1,1.0,0.9583333333333333,0.041666666666666664
4,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,0,0.7916666666666666,0.16145833333333331,0.7960526315789473
4,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,1,0.7916666666666666,0.7738095238095237,0.02255639097744359
4,deepseek-chat,explicit_decision,Measurement & Data,0,0.9230769230769231,0.17307692307692307,0.8125
4,deepseek-chat,explicit_decision,Measurement & Data,1,0.9230769230769231,0.8956043956043956,0.029761904761904823
4,deepseek-chat,explicit_decision,Number & Operations in Base Ten,0,0.88,0.39,0.5568181818181819
4,deepseek-chat,explicit_decision,Number & Operations in Base Ten,1,0.88,0.9142857142857144,-0.038961038961038995
4,deepseek-chat,explicit_decision,Number & Operations—Fractions,0,0.9583333333333334,0.09895833333333333,0.8967391304347826
4,deepseek-chat,explicit_decision,Number & Operations—Fractions,1,0.9583333333333334,0.7380952380952381,0.22981366459627334
4,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,0,0.8333333333333334,0.109375,0.8687499999999999
4,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,1,0.8333333333333334,0.8273809523809524,0.007142857142857155
4,gpt-4o,explicit_decision,Measurement & Data,0,0.6923076923076923,0.2548076923076923,0.6319444444444444
4,gpt-4o,explicit_decision,Measurement & Data,1,0.6923076923076923,0.5769230769230769,0.16666666666666669
4,gpt-4o,explicit_decision,Number & Operations in Base Ten,0,0.56,0.195,0.6517857142857143
4,gpt-4o,explicit_decision,Number & Operations in Base Ten,1,0.56,0.5314285714285715,0.05102040816326535
4,gpt-4o,explicit_decision,Number & Operations—Fractions,0,0.958,0.38020833333333337,0.6031228253305497
4,gpt-4o,explicit_decision,Number & Operations—Fractions,1,0.958,0.6488095238095238,0.32274579978129037
4,gpt-4o,explicit_decision,Operations & Algebraic Thinking,0,0.625,0.10416666666666666,0.8333333333333334
4,gpt-4o,explicit_decision,Operations & Algebraic Thinking,1,0.625,0.6607142857142857,-0.05714285714285716
5,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,0,0.9393939393939394,0.09090909090909091,0.9032258064516129
5,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,1,0.9393939393939394,0.9393939393939394,0.0
5,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,0,0.7575757575757576,0.09090909090909091,0.88
5,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,1,0.7575757575757575,0.7272727272727272,0.039999999999999966
5,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,0,0.8787878787878788,0.20454545454545456,0.7672413793103449
5,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,1,0.8787878787878788,0.8585858585858586,0.02298850574712642
5,deepseek-chat,explicit_decision,Number & Operations in Base Ten,0,0.9696969696969697,0.34090909090909094,0.6484375
5,deepseek-chat,explicit_decision,Number & Operations in Base Ten,1,0.9696969696969697,0.9696969696969697,0.0
5,deepseek-chat,explicit_decision,Number & Operations—Fractions,0,0.8181818181818182,0.3106060606060606,0.6203703703703705
5,deepseek-chat,explicit_decision,Number & Operations—Fractions,1,0.8181818181818182,0.8282828282828283,-0.012345679012345666
5,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,0,0.8787878787878788,0.3181818181818182,0.6379310344827586
5,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,1,0.8787878787878788,0.9696969696969697,-0.103448275862069
5,gpt-4o,explicit_decision,Number & Operations in Base Ten,0,0.696969696969697,0.10606060606060606,0.8478260869565217
5,gpt-4o,explicit_decision,Number & Operations in Base Ten,1,0.6969696969696969,0.7272727272727272,-0.043478260869565126
5,gpt-4o,explicit_decision,Number & Operations—Fractions,0,0.424242,0.3106060606060606,0.2678564107135536
5,gpt-4o,explicit_decision,Number & Operations—Fractions,1,0.424242,0.3636363636363636,0.1428562857134286
5,gpt-4o,explicit_decision,Operations & Algebraic Thinking,0,0.60606,0.23484848484848486,0.6124996124996125
5,gpt-4o,explicit_decision,Operations & Algebraic Thinking,1,0.60606,0.595959595959596,0.016665683332350027
