grade,model,prompt,student_id,skill,k,observed_acc
4,gpt-4o,explicit_decision,7,Measurement & Data,1,0.6153846153846154
4,gpt-4o,explicit_decision,7,Number & Operations in Base Ten,1,0.52
4,gpt-4o,explicit_decision,7,Number & Operations—Fractions,1,0.6666666666666666
4,gpt-4o,explicit_decision,7,Operations & Algebraic Thinking,0,0.08333333333333333
4,gpt-4o,explicit_decision,11,Measurement & Data,1,0.5384615384615384
4,gpt-4o,explicit_decision,11,Number & Operations in Base Ten,1,0.48
4,gpt-4o,explicit_decision,11,Number & Operations—Fractions,0,0.375
4,gpt-4o,explicit_decision,11,Operations & Algebraic Thinking,1,0.5833333333333334
4,gpt-4o,explicit_decision,13,Measurement & Data,1,0.5769230769230769
4,gpt-4o,explicit_decision,13,Number & Operations in Base Ten,0,0.12
4,gpt-4o,explicit_decision,13,Number & Operations—Fractions,1,0.625
4,gpt-4o,explicit_decision,13,Operations & Algebraic Thinking,1,0.6666666666666666
4,gpt-4o,explicit_decision,14,Measurement & Data,0,0.19230769230769232
4,gpt-4o,explicit_decision,14,Number & Operations in Base Ten,1,0.56
4,gpt-4o,explicit_decision,14,Number & Operations—Fractions,1,0.6666666666666666
4,gpt-4o,explicit_decision,14,Operations & Algebraic Thinking,1,0.625
