grade,model,prompt,rmse
4,claude-sonnet-4-5-20250929,combined,0.37709094662352904
4,claude-sonnet-4-5-20250929,few_shot,0.5494622074125484
4,claude-sonnet-4-5-20250929,rule_based,0.4416624938634109
4,deepseek-chat,combined,0.44860262385203964
4,deepseek-chat,few_shot,0.6878795975504595
4,deepseek-chat,rule_based,0.5534066412895693
4,gpt-4o,combined,0.2345167232297135
4,gpt-4o,few_shot,0.6028695604500522
4,gpt-4o,rule_based,0.23039039922492938
5,claude-sonnet-4-5-20250929,combined,0.4305159005907754
5,claude-sonnet-4-5-20250929,few_shot,0.7200636516562764
5,claude-sonnet-4-5-20250929,rule_based,0.4077766324460507
5,deepseek-chat,combined,0.3504229391386805
5,deepseek-chat,few_shot,0.6984341720026355
5,deepseek-chat,rule_based,0.5544699957782331
5,gpt-4o,combined,0.40406729484028725
5,gpt-4o,few_shot,0.6457341627721686
5,gpt-4o,rule_based,0.35159147611376496
