grade,prompt,student_id,n_missing,pearson_r
5,combined,4,2,0.9940874293199052
5,combined,5,1,0.9639278544917692
5,combined,1,2,0.8346750651930227
5,combined,6,1,0.6546536707079769
5,combined,2,2,0.4335549847620599
5,combined,3,1,-0.09357486023220539
5,few_shot,5,1,0.9481408128202546
5,few_shot,6,1,0.8739317764031402
5,few_shot,4,2,0.8610913777185957
5,few_shot,1,2,0.6185895741317415
5,few_shot,3,1,0.5654661730944508
5,few_shot,2,2,0.05241424183609625
5,rule_based,1,2,0.998906107238672
5,rule_based,5,1,0.9984427709212879
5,rule_based,4,2,0.9260490081948334
5,rule_based,6,1,0.4999999999999998
5,rule_based,3,1,0.3812464258315117
5,rule_based,2,2,7.850462293418875e-17
