grade,model,prompt,skill,k,IS_acc,PS_acc
4,claude-sonnet-4-5-20250929,explicit_decision,Measurement & Data,0,0.04326923076923077,0.8846153846153846
4,claude-sonnet-4-5-20250929,explicit_decision,Measurement & Data,1,0.8626373626373626,0.8846153846153845
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,0,0.065,0.92
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,1,0.9257142857142858,0.92
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,0,0.0,1.0
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,1,0.9583333333333333,1.0
4,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,0,0.16145833333333331,0.7916666666666666
4,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,1,0.7738095238095237,0.7916666666666666
4,deepseek-chat,explicit_decision,Measurement & Data,0,0.17307692307692307,0.9230769230769231
4,deepseek-chat,explicit_decision,Measurement & Data,1,0.8956043956043956,0.9230769230769231
4,deepseek-chat,explicit_decision,Number & Operations in Base Ten,0,0.39,0.88
4,deepseek-chat,explicit_decision,Number & Operations in Base Ten,1,0.9142857142857144,0.88
4,deepseek-chat,explicit_decision,Number & Operations—Fractions,0,0.09895833333333333,0.9583333333333334
4,deepseek-chat,explicit_decision,Number & Operations—Fractions,1,0.7380952380952381,0.9583333333333334
4,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,0,0.109375,0.8333333333333334
4,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,1,0.8273809523809524,0.8333333333333334
4,gpt-4o,explicit_decision,Measurement & Data,0,0.2548076923076923,0.6923076923076923
4,gpt-4o,explicit_decision,Measurement & Data,1,0.5769230769230769,0.6923076923076923
4,gpt-4o,explicit_decision,Number & Operations in Base Ten,0,0.195,0.56
4,gpt-4o,explicit_decision,Number & Operations in Base Ten,1,0.5314285714285715,0.56
4,gpt-4o,explicit_decision,Number & Operations—Fractions,0,0.38020833333333337,0.958
4,gpt-4o,explicit_decision,Number & Operations—Fractions,1,0.6488095238095238,0.958
4,gpt-4o,explicit_decision,Operations & Algebraic Thinking,0,0.10416666666666666,0.625
4,gpt-4o,explicit_decision,Operations & Algebraic Thinking,1,0.6607142857142857,0.625
5,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,0,0.09090909090909091,0.9393939393939394
5,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,1,0.9393939393939394,0.9393939393939394
5,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,0,0.09090909090909091,0.7575757575757576
5,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,1,0.7272727272727272,0.7575757575757575
5,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,0,0.20454545454545456,0.8787878787878788
5,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,1,0.8585858585858586,0.8787878787878788
5,deepseek-chat,explicit_decision,Number & Operations in Base Ten,0,0.34090909090909094,0.9696969696969697
5,deepseek-chat,explicit_decision,Number & Operations in Base Ten,1,0.9696969696969697,0.9696969696969697
5,deepseek-chat,explicit_decision,Number & Operations—Fractions,0,0.3106060606060606,0.8181818181818182
5,deepseek-chat,explicit_decision,Number & Operations—Fractions,1,0.8282828282828283,0.8181818181818182
5,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,0,0.3181818181818182,0.8787878787878788
5,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,1,0.9696969696969697,0.8787878787878788
5,gpt-4o,explicit_decision,Number & Operations in Base Ten,0,0.10606060606060606,0.696969696969697
5,gpt-4o,explicit_decision,Number & Operations in Base Ten,1,0.7272727272727272,0.6969696969696969
5,gpt-4o,explicit_decision,Number & Operations—Fractions,0,0.3106060606060606,0.424242
5,gpt-4o,explicit_decision,Number & Operations—Fractions,1,0.3636363636363636,0.424242
5,gpt-4o,explicit_decision,Operations & Algebraic Thinking,0,0.23484848484848486,0.60606
5,gpt-4o,explicit_decision,Operations & Algebraic Thinking,1,0.595959595959596,0.60606
