grade,model,prompt,skill,q0,q1,replicate
5,deepseek-chat,rule_based,Number & Operations in Base Ten,0.9696969696969697,0.8484848484848485,0
5,deepseek-chat,rule_based,Number & Operations—Fractions,0.8787878787878788,0.6363636363636364,0
5,deepseek-chat,rule_based,Operations & Algebraic Thinking,0.9393939393939394,0.7575757575757576,0
5,deepseek-chat,rule_based,Number & Operations—Fractions,0.8787878787878788,0.696969696969697,0
5,deepseek-chat,rule_based,Operations & Algebraic Thinking,0.9393939393939394,0.7272727272727273,0
5,deepseek-chat,rule_based,Number & Operations—Fractions,0.8787878787878788,0.6666666666666666,1
5,deepseek-chat,rule_based,Operations & Algebraic Thinking,0.9393939393939394,0.7878787878787878,1
5,deepseek-chat,rule_based,Number & Operations—Fractions,0.8787878787878788,0.6666666666666666,2
5,deepseek-chat,rule_based,Operations & Algebraic Thinking,0.9393939393939394,0.7878787878787878,2
5,deepseek-chat,rule_based,Number & Operations—Fractions,0.8787878787878788,0.6666666666666666,3
5,deepseek-chat,rule_based,Operations & Algebraic Thinking,0.9393939393939394,0.7878787878787878,3
5,deepseek-chat,rule_based,Number & Operations—Fractions,0.8787878787878788,0.6666666666666666,4
5,deepseek-chat,rule_based,Operations & Algebraic Thinking,0.9393939393939394,0.7878787878787878,4
5,deepseek-chat,rule_based,Number & Operations in Base Ten,0.9696969696969697,0.8484848484848485,0
5,deepseek-chat,rule_based,Operations & Algebraic Thinking,0.9393939393939394,0.7272727272727273,0
5,deepseek-chat,rule_based,Number & Operations in Base Ten,0.9696969696969697,0.8181818181818182,1
5,deepseek-chat,rule_based,Operations & Algebraic Thinking,0.9393939393939394,0.7878787878787878,1
5,deepseek-chat,rule_based,Number & Operations in Base Ten,0.9696969696969697,0.8181818181818182,2
5,deepseek-chat,rule_based,Operations & Algebraic Thinking,0.9393939393939394,0.7878787878787878,2
5,deepseek-chat,rule_based,Number & Operations in Base Ten,0.9696969696969697,0.8181818181818182,3
5,deepseek-chat,rule_based,Operations & Algebraic Thinking,0.9393939393939394,0.7878787878787878,3
5,deepseek-chat,rule_based,Number & Operations in Base Ten,0.9696969696969697,0.8181818181818182,4
