grade,model,prompt,student_id,skill,k,observed_acc
4,deepseek-chat,explicit_decision,7,Measurement & Data,1,0.9230769230769231
4,deepseek-chat,explicit_decision,7,Number & Operations in Base Ten,1,0.88
4,deepseek-chat,explicit_decision,7,Number & Operations—Fractions,1,0.625
4,deepseek-chat,explicit_decision,7,Operations & Algebraic Thinking,0,0.08333333333333333
4,deepseek-chat,explicit_decision,11,Measurement & Data,1,0.8846153846153846
4,deepseek-chat,explicit_decision,11,Number & Operations in Base Ten,1,0.92
4,deepseek-chat,explicit_decision,11,Number & Operations—Fractions,0,0.08333333333333333
4,deepseek-chat,explicit_decision,11,Operations & Algebraic Thinking,1,0.8333333333333334
4,deepseek-chat,explicit_decision,13,Measurement & Data,1,0.8846153846153846
4,deepseek-chat,explicit_decision,13,Number & Operations in Base Ten,0,0.36
4,deepseek-chat,explicit_decision,13,Number & Operations—Fractions,1,0.75
4,deepseek-chat,explicit_decision,13,Operations & Algebraic Thinking,1,0.8333333333333334
4,deepseek-chat,explicit_decision,14,Measurement & Data,0,0.23076923076923078
4,deepseek-chat,explicit_decision,14,Number & Operations in Base Ten,1,0.92
4,deepseek-chat,explicit_decision,14,Number & Operations—Fractions,1,0.7916666666666666
4,deepseek-chat,explicit_decision,14,Operations & Algebraic Thinking,1,0.8333333333333334
