model,grade,prompt,student_id,n_missing,pearson_r
deepseek-chat,4,combined,2,3,0.9996052861220844
deepseek-chat,4,combined,3,2,0.999199146465889
deepseek-chat,4,combined,13,1,0.9750921025542574
deepseek-chat,4,combined,9,2,0.9684726885794046
deepseek-chat,4,combined,11,1,0.9550459477729604
deepseek-chat,4,combined,12,2,0.954079107095917
deepseek-chat,4,combined,10,2,0.9455772292534067
deepseek-chat,4,combined,8,3,0.9394779913431085
deepseek-chat,4,combined,5,2,0.931496555156725
deepseek-chat,4,combined,7,1,0.9303871674566215
deepseek-chat,4,combined,14,1,0.9240044762407171
deepseek-chat,4,combined,4,3,0.9046381306223783
deepseek-chat,4,combined,1,3,0.8892919703393773
deepseek-chat,4,combined,6,2,0.8364893904707491
deepseek-chat,4,few_shot,7,1,0.9676717827959543
deepseek-chat,4,few_shot,1,3,0.7389593566611042
deepseek-chat,4,few_shot,5,2,0.7140699260681946
deepseek-chat,4,few_shot,3,2,0.5380090896167244
deepseek-chat,4,few_shot,13,1,0.478189011154705
deepseek-chat,4,few_shot,4,3,0.4231736336204326
deepseek-chat,4,few_shot,6,2,0.04482491812767342
deepseek-chat,4,few_shot,2,3,-0.05321256294332918
deepseek-chat,4,few_shot,9,2,-0.3652688647796085
deepseek-chat,4,few_shot,12,2,-0.39546004264602996
deepseek-chat,4,few_shot,14,1,-0.4003075909598796
deepseek-chat,4,few_shot,11,1,-0.5455947167732589
deepseek-chat,4,few_shot,8,3,-0.8506939582706868
deepseek-chat,4,few_shot,10,2,-0.9987048995329272
deepseek-chat,4,rule_based,7,1,0.9897323220018219
deepseek-chat,4,rule_based,13,1,0.9453586928910255
deepseek-chat,4,rule_based,6,2,0.8636265683957902
deepseek-chat,4,rule_based,14,1,0.8207073303140737
deepseek-chat,4,rule_based,12,2,0.7793214261463396
deepseek-chat,4,rule_based,5,2,0.6818224823784585
deepseek-chat,4,rule_based,4,3,0.6223043580430198
deepseek-chat,4,rule_based,3,2,0.5504429912604
deepseek-chat,4,rule_based,1,3,0.4421646179329559
deepseek-chat,4,rule_based,2,3,0.4347999442534075
deepseek-chat,4,rule_based,10,2,0.3005407978945406
deepseek-chat,4,rule_based,9,2,0.2794896343046341
deepseek-chat,4,rule_based,8,3,-0.017877022154292446
deepseek-chat,4,rule_based,11,1,-0.8768805442294798
deepseek-chat,5,combined,5,1,0.9991507429465937
deepseek-chat,5,combined,2,2,0.987829161147262
deepseek-chat,5,combined,6,1,0.9293523776342753
deepseek-chat,5,combined,1,2,0.918499195005427
deepseek-chat,5,combined,4,2,0.9000736173028128
deepseek-chat,5,combined,3,1,0.8250942731873364
deepseek-chat,5,few_shot,5,1,0.9999999999999998
deepseek-chat,5,few_shot,1,2,0.6331130843152798
deepseek-chat,5,few_shot,4,2,0.5
deepseek-chat,5,few_shot,6,1,-0.5
deepseek-chat,5,few_shot,3,1,-0.5000000000000001
deepseek-chat,5,few_shot,2,2,-1.0
deepseek-chat,5,rule_based,5,1,0.9999999999999999
deepseek-chat,5,rule_based,4,2,0.944911182523068
deepseek-chat,5,rule_based,1,2,0.9398294967903255
deepseek-chat,5,rule_based,6,1,0.9041944301794648
deepseek-chat,5,rule_based,3,1,0.7269004605005986
deepseek-chat,5,rule_based,2,2,-0.39735970711951235
