grade,model,prompt,student_id,skill,k,observed_acc
5,gpt-4o,combined,3,Number & Operations in Base Ten,1,0.6606060606060605
5,gpt-4o,combined,3,Number & Operations—Fractions,1,0.36969696969696975
5,gpt-4o,combined,3,Operations & Algebraic Thinking,0,0.36363636363636365
5,gpt-4o,few_shot,3,Number & Operations in Base Ten,1,0.6121212121212121
5,gpt-4o,few_shot,3,Number & Operations—Fractions,1,0.36363636363636365
5,gpt-4o,few_shot,3,Operations & Algebraic Thinking,0,0.4787878787878788
5,gpt-4o,rule_based,3,Number & Operations in Base Ten,1,0.6848484848484848
5,gpt-4o,rule_based,3,Number & Operations—Fractions,1,0.41818181818181815
5,gpt-4o,rule_based,3,Operations & Algebraic Thinking,0,0.2848484848484848
5,gpt-4o,combined,5,Number & Operations in Base Ten,1,0.6424242424242423
5,gpt-4o,combined,5,Number & Operations—Fractions,0,0.21212121212121215
5,gpt-4o,combined,5,Operations & Algebraic Thinking,1,0.6
5,gpt-4o,few_shot,5,Number & Operations in Base Ten,1,0.6545454545454545
5,gpt-4o,few_shot,5,Number & Operations—Fractions,0,0.36363636363636365
5,gpt-4o,few_shot,5,Operations & Algebraic Thinking,1,0.5454545454545454
5,gpt-4o,rule_based,5,Number & Operations in Base Ten,1,0.6606060606060605
5,gpt-4o,rule_based,5,Number & Operations—Fractions,0,0.29696969696969694
5,gpt-4o,rule_based,5,Operations & Algebraic Thinking,1,0.6121212121212121
5,gpt-4o,combined,6,Number & Operations in Base Ten,0,0.4242424242424242
5,gpt-4o,combined,6,Number & Operations—Fractions,1,0.32121212121212117
5,gpt-4o,combined,6,Operations & Algebraic Thinking,1,0.6303030303030303
5,gpt-4o,few_shot,6,Number & Operations in Base Ten,0,0.5212121212121212
5,gpt-4o,few_shot,6,Number & Operations—Fractions,1,0.3757575757575758
5,gpt-4o,few_shot,6,Operations & Algebraic Thinking,1,0.6060606060606061
5,gpt-4o,rule_based,6,Number & Operations in Base Ten,0,0.23030303030303031
5,gpt-4o,rule_based,6,Number & Operations—Fractions,1,0.35151515151515156
5,gpt-4o,rule_based,6,Operations & Algebraic Thinking,1,0.593939393939394
