grade,model,prompt,skill,k,r,replicate
4,deepseek-chat,rule_based,Measurement & Data,0,0.3333333333333333,0
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.3478260869565218,0
4,deepseek-chat,rule_based,Number & Operations—Fractions,0,0.1818181818181818,0
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.8181818181818182,0
4,deepseek-chat,rule_based,Measurement & Data,1,-0.04166666666666664,0
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.0869565217391305,0
4,deepseek-chat,rule_based,Number & Operations—Fractions,0,0.045454545454545414,0
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.6363636363636364,0
4,deepseek-chat,rule_based,Measurement & Data,1,0.041666666666666755,1
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.13043478260869565,1
4,deepseek-chat,rule_based,Number & Operations—Fractions,0,0.045454545454545414,1
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.6363636363636364,1
4,deepseek-chat,rule_based,Measurement & Data,1,0.041666666666666755,2
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.13043478260869565,2
4,deepseek-chat,rule_based,Number & Operations—Fractions,0,0.045454545454545414,2
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.5909090909090909,2
4,deepseek-chat,rule_based,Measurement & Data,1,0.0,3
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.13043478260869565,3
4,deepseek-chat,rule_based,Number & Operations—Fractions,0,0.045454545454545414,3
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.5909090909090909,3
4,deepseek-chat,rule_based,Measurement & Data,1,0.041666666666666755,4
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.13043478260869565,4
4,deepseek-chat,rule_based,Number & Operations—Fractions,0,0.045454545454545414,4
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.6363636363636364,4
4,deepseek-chat,rule_based,Measurement & Data,0,0.16666666666666666,0
4,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.04347826086956525,0
4,deepseek-chat,rule_based,Number & Operations—Fractions,0,0.045454545454545414,0
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.6818181818181819,0
4,deepseek-chat,rule_based,Measurement & Data,0,0.16666666666666666,1
4,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.04347826086956525,1
4,deepseek-chat,rule_based,Number & Operations—Fractions,0,0.09090909090909083,1
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.6818181818181819,1
4,deepseek-chat,rule_based,Measurement & Data,0,0.16666666666666666,2
4,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.04347826086956525,2
4,deepseek-chat,rule_based,Number & Operations—Fractions,0,0.045454545454545414,2
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.6818181818181819,2
4,deepseek-chat,rule_based,Measurement & Data,0,0.16666666666666666,3
4,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.04347826086956525,3
4,deepseek-chat,rule_based,Number & Operations—Fractions,0,0.09090909090909083,3
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.6818181818181819,3
4,deepseek-chat,rule_based,Measurement & Data,0,0.16666666666666666,4
4,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.04347826086956525,4
4,deepseek-chat,rule_based,Number & Operations—Fractions,0,0.045454545454545414,4
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.6818181818181819,4
4,deepseek-chat,rule_based,Measurement & Data,1,-0.04166666666666664,0
4,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.0,0
4,deepseek-chat,rule_based,Number & Operations—Fractions,0,-0.04545454545454554,0
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.5454545454545454,0
4,deepseek-chat,rule_based,Measurement & Data,1,-0.04166666666666664,1
4,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.0,1
4,deepseek-chat,rule_based,Number & Operations—Fractions,0,-0.04545454545454554,1
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.5454545454545454,1
4,deepseek-chat,rule_based,Measurement & Data,1,-0.04166666666666664,2
4,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.0,2
4,deepseek-chat,rule_based,Number & Operations—Fractions,0,-0.04545454545454554,2
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.5454545454545454,2
4,deepseek-chat,rule_based,Measurement & Data,1,-0.04166666666666664,3
4,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.0,3
4,deepseek-chat,rule_based,Number & Operations—Fractions,0,-0.04545454545454554,3
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.5454545454545454,3
4,deepseek-chat,rule_based,Measurement & Data,1,-0.04166666666666664,4
4,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.0,4
4,deepseek-chat,rule_based,Number & Operations—Fractions,0,-0.04545454545454554,4
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.5454545454545454,4
4,deepseek-chat,rule_based,Measurement & Data,0,0.20833333333333343,0
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.0869565217391305,0
4,deepseek-chat,rule_based,Number & Operations—Fractions,1,-0.04545454545454554,0
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.5454545454545454,0
4,deepseek-chat,rule_based,Measurement & Data,0,0.12500000000000003,1
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.13043478260869565,1
4,deepseek-chat,rule_based,Number & Operations—Fractions,1,-0.04545454545454554,1
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.5909090909090909,1
4,deepseek-chat,rule_based,Measurement & Data,0,0.16666666666666666,2
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.13043478260869565,2
4,deepseek-chat,rule_based,Number & Operations—Fractions,1,-0.04545454545454554,2
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.5909090909090909,2
4,deepseek-chat,rule_based,Measurement & Data,0,0.16666666666666666,3
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.13043478260869565,3
4,deepseek-chat,rule_based,Number & Operations—Fractions,1,-0.04545454545454554,3
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.5909090909090909,3
4,deepseek-chat,rule_based,Measurement & Data,0,0.16666666666666666,4
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.13043478260869565,4
4,deepseek-chat,rule_based,Number & Operations—Fractions,1,-0.04545454545454554,4
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.5909090909090909,4
4,deepseek-chat,rule_based,Measurement & Data,1,-0.04166666666666664,0
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.1739130434782609,0
4,deepseek-chat,rule_based,Number & Operations—Fractions,1,0.0,0
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.5909090909090909,0
4,deepseek-chat,rule_based,Measurement & Data,1,-0.04166666666666664,1
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.04347826086956525,1
4,deepseek-chat,rule_based,Number & Operations—Fractions,1,0.0,1
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.6363636363636364,1
4,deepseek-chat,rule_based,Measurement & Data,1,-0.04166666666666664,2
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.04347826086956525,2
4,deepseek-chat,rule_based,Number & Operations—Fractions,1,0.0,2
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.6363636363636364,2
4,deepseek-chat,rule_based,Measurement & Data,1,-0.04166666666666664,3
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.04347826086956525,3
4,deepseek-chat,rule_based,Number & Operations—Fractions,1,0.0,3
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.6363636363636364,3
4,deepseek-chat,rule_based,Measurement & Data,1,-0.04166666666666664,4
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.04347826086956525,4
4,deepseek-chat,rule_based,Number & Operations—Fractions,1,0.0,4
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.6363636363636364,4
4,deepseek-chat,rule_based,Measurement & Data,0,0.20833333333333343,0
4,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.04347826086956525,0
4,deepseek-chat,rule_based,Number & Operations—Fractions,1,-0.04545454545454554,0
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.5909090909090909,0
4,deepseek-chat,rule_based,Measurement & Data,0,0.25000000000000006,1
4,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.0,1
4,deepseek-chat,rule_based,Number & Operations—Fractions,1,-0.04545454545454554,1
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.5909090909090909,1
4,deepseek-chat,rule_based,Measurement & Data,0,0.25000000000000006,2
4,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.0,2
4,deepseek-chat,rule_based,Number & Operations—Fractions,1,-0.04545454545454554,2
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.5909090909090909,2
4,deepseek-chat,rule_based,Measurement & Data,0,0.25000000000000006,3
4,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.0,3
4,deepseek-chat,rule_based,Number & Operations—Fractions,1,-0.04545454545454554,3
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.5909090909090909,3
4,deepseek-chat,rule_based,Measurement & Data,0,0.25000000000000006,4
4,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.0,4
4,deepseek-chat,rule_based,Number & Operations—Fractions,1,-0.04545454545454554,4
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.5909090909090909,4
4,deepseek-chat,rule_based,Measurement & Data,1,0.0,0
4,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.04347826086956525,0
4,deepseek-chat,rule_based,Number & Operations—Fractions,1,-0.04545454545454554,0
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.5909090909090909,0
4,deepseek-chat,rule_based,Measurement & Data,1,-0.04166666666666664,1
4,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.04347826086956525,1
4,deepseek-chat,rule_based,Number & Operations—Fractions,1,-0.04545454545454554,1
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.5,1
4,deepseek-chat,rule_based,Measurement & Data,1,-0.04166666666666664,2
4,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.04347826086956525,2
4,deepseek-chat,rule_based,Number & Operations—Fractions,1,-0.04545454545454554,2
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.5,2
4,deepseek-chat,rule_based,Measurement & Data,1,-0.04166666666666664,3
4,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.04347826086956525,3
4,deepseek-chat,rule_based,Number & Operations—Fractions,1,-0.04545454545454554,3
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.5,3
4,deepseek-chat,rule_based,Measurement & Data,1,-0.04166666666666664,4
4,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.04347826086956525,4
4,deepseek-chat,rule_based,Number & Operations—Fractions,1,-0.04545454545454554,4
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.5454545454545454,4
4,deepseek-chat,rule_based,Measurement & Data,0,0.20833333333333343,0
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.0869565217391305,0
4,deepseek-chat,rule_based,Number & Operations—Fractions,0,0.045454545454545414,0
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,1,0.13636363636363638,0
4,deepseek-chat,rule_based,Measurement & Data,0,0.2916666666666667,1
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.13043478260869565,1
4,deepseek-chat,rule_based,Number & Operations—Fractions,0,0.045454545454545414,1
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,1,0.13636363636363638,1
4,deepseek-chat,rule_based,Measurement & Data,0,0.2916666666666667,2
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.13043478260869565,2
4,deepseek-chat,rule_based,Number & Operations—Fractions,0,0.0,2
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,1,0.13636363636363638,2
4,deepseek-chat,rule_based,Measurement & Data,0,0.2916666666666667,3
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.0869565217391305,3
4,deepseek-chat,rule_based,Number & Operations—Fractions,0,0.0,3
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,1,0.13636363636363638,3
4,deepseek-chat,rule_based,Measurement & Data,0,0.2916666666666667,4
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.13043478260869565,4
4,deepseek-chat,rule_based,Number & Operations—Fractions,0,0.0,4
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,1,0.13636363636363638,4
4,deepseek-chat,rule_based,Measurement & Data,1,0.0,0
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.13043478260869565,0
4,deepseek-chat,rule_based,Number & Operations—Fractions,0,0.0,0
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,1,0.045454545454545414,0
4,deepseek-chat,rule_based,Measurement & Data,1,0.0,1
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.13043478260869565,1
4,deepseek-chat,rule_based,Number & Operations—Fractions,0,0.0,1
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,1,0.09090909090909083,1
4,deepseek-chat,rule_based,Measurement & Data,1,0.0,2
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.13043478260869565,2
4,deepseek-chat,rule_based,Number & Operations—Fractions,0,0.0,2
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,1,0.09090909090909083,2
4,deepseek-chat,rule_based,Measurement & Data,1,0.0,3
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.1739130434782609,3
4,deepseek-chat,rule_based,Number & Operations—Fractions,0,0.0,3
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,1,0.09090909090909083,3
4,deepseek-chat,rule_based,Measurement & Data,1,0.0,4
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.1739130434782609,4
4,deepseek-chat,rule_based,Number & Operations—Fractions,0,0.0,4
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,1,0.09090909090909083,4
4,deepseek-chat,rule_based,Measurement & Data,0,0.16666666666666666,0
4,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.0,0
4,deepseek-chat,rule_based,Number & Operations—Fractions,0,0.045454545454545414,0
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,1,0.09090909090909083,0
4,deepseek-chat,rule_based,Measurement & Data,0,0.12500000000000003,1
4,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.04347826086956525,1
4,deepseek-chat,rule_based,Number & Operations—Fractions,0,0.045454545454545414,1
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,1,0.09090909090909083,1
4,deepseek-chat,rule_based,Measurement & Data,0,0.12500000000000003,2
4,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.04347826086956525,2
4,deepseek-chat,rule_based,Number & Operations—Fractions,0,0.045454545454545414,2
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,1,0.09090909090909083,2
4,deepseek-chat,rule_based,Measurement & Data,0,0.12500000000000003,3
4,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.04347826086956525,3
4,deepseek-chat,rule_based,Number & Operations—Fractions,0,0.045454545454545414,3
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,1,0.09090909090909083,3
4,deepseek-chat,rule_based,Measurement & Data,0,0.0833333333333334,4
4,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.04347826086956525,4
4,deepseek-chat,rule_based,Number & Operations—Fractions,0,0.045454545454545414,4
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,1,0.09090909090909083,4
4,deepseek-chat,rule_based,Measurement & Data,1,0.0,0
4,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.04347826086956525,0
4,deepseek-chat,rule_based,Number & Operations—Fractions,0,0.0,0
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,1,0.045454545454545414,0
4,deepseek-chat,rule_based,Measurement & Data,1,0.041666666666666755,1
4,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.04347826086956525,1
4,deepseek-chat,rule_based,Number & Operations—Fractions,0,-0.04545454545454554,1
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,1,0.09090909090909083,1
4,deepseek-chat,rule_based,Measurement & Data,1,0.041666666666666755,2
4,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.04347826086956525,2
4,deepseek-chat,rule_based,Number & Operations—Fractions,0,-0.04545454545454554,2
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,1,0.09090909090909083,2
4,deepseek-chat,rule_based,Measurement & Data,1,0.041666666666666755,3
4,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.04347826086956525,3
4,deepseek-chat,rule_based,Number & Operations—Fractions,0,-0.04545454545454554,3
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,1,0.09090909090909083,3
4,deepseek-chat,rule_based,Measurement & Data,1,0.041666666666666755,4
4,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.04347826086956525,4
4,deepseek-chat,rule_based,Number & Operations—Fractions,0,-0.04545454545454554,4
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,1,0.09090909090909083,4
4,deepseek-chat,rule_based,Measurement & Data,0,0.25000000000000006,0
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.13043478260869565,0
4,deepseek-chat,rule_based,Number & Operations—Fractions,1,0.0,0
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,1,0.09090909090909083,0
4,deepseek-chat,rule_based,Measurement & Data,0,0.12500000000000003,1
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.0869565217391305,1
4,deepseek-chat,rule_based,Number & Operations—Fractions,1,0.045454545454545414,1
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,1,0.09090909090909083,1
4,deepseek-chat,rule_based,Measurement & Data,0,0.12500000000000003,2
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.0869565217391305,2
4,deepseek-chat,rule_based,Number & Operations—Fractions,1,0.0,2
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,1,0.09090909090909083,2
4,deepseek-chat,rule_based,Measurement & Data,0,0.16666666666666666,3
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.13043478260869565,3
4,deepseek-chat,rule_based,Number & Operations—Fractions,1,0.0,3
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,1,0.09090909090909083,3
4,deepseek-chat,rule_based,Measurement & Data,0,0.12500000000000003,4
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.13043478260869565,4
4,deepseek-chat,rule_based,Number & Operations—Fractions,1,0.0,4
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,1,0.09090909090909083,4
4,deepseek-chat,rule_based,Measurement & Data,1,0.0,0
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.1739130434782609,0
4,deepseek-chat,rule_based,Number & Operations—Fractions,1,-0.04545454545454554,0
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,1,0.0,0
4,deepseek-chat,rule_based,Measurement & Data,1,0.0,1
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.1739130434782609,1
4,deepseek-chat,rule_based,Number & Operations—Fractions,1,0.0,1
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,1,0.045454545454545414,1
4,deepseek-chat,rule_based,Measurement & Data,1,0.0,2
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.1739130434782609,2
4,deepseek-chat,rule_based,Number & Operations—Fractions,1,-0.04545454545454554,2
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,1,0.045454545454545414,2
4,deepseek-chat,rule_based,Measurement & Data,1,0.0,3
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.1739130434782609,3
4,deepseek-chat,rule_based,Number & Operations—Fractions,1,-0.04545454545454554,3
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,1,0.045454545454545414,3
4,deepseek-chat,rule_based,Measurement & Data,1,0.0,4
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.1739130434782609,4
4,deepseek-chat,rule_based,Number & Operations—Fractions,1,-0.04545454545454554,4
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,1,0.045454545454545414,4
4,deepseek-chat,rule_based,Measurement & Data,0,0.20833333333333343,0
4,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.04347826086956525,0
4,deepseek-chat,rule_based,Number & Operations—Fractions,1,-0.04545454545454554,0
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,1,0.09090909090909083,0
4,deepseek-chat,rule_based,Measurement & Data,0,0.16666666666666666,1
4,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.04347826086956525,1
4,deepseek-chat,rule_based,Number & Operations—Fractions,1,-0.04545454545454554,1
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,1,0.045454545454545414,1
4,deepseek-chat,rule_based,Measurement & Data,0,0.16666666666666666,2
4,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.04347826086956525,2
4,deepseek-chat,rule_based,Number & Operations—Fractions,1,-0.04545454545454554,2
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,1,0.045454545454545414,2
4,deepseek-chat,rule_based,Measurement & Data,0,0.20833333333333343,3
4,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.04347826086956525,3
4,deepseek-chat,rule_based,Number & Operations—Fractions,1,-0.04545454545454554,3
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,1,0.13636363636363638,3
4,deepseek-chat,rule_based,Measurement & Data,0,0.16666666666666666,4
4,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.04347826086956525,4
4,deepseek-chat,rule_based,Number & Operations—Fractions,1,-0.04545454545454554,4
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,1,0.09090909090909083,4
4,deepseek-chat,few_shot,Measurement & Data,0,0.0,0
