model,grade,prompt,student_id,n_missing,pearson_r
gpt-4o,4,explicit_decision,5,2,0.9983513842558874
gpt-4o,4,explicit_decision,13,1,0.9895320276207833
gpt-4o,4,explicit_decision,14,1,0.9793191562671691
gpt-4o,4,explicit_decision,7,1,0.9734948925709906
gpt-4o,4,explicit_decision,8,3,0.9683545716753671
gpt-4o,4,explicit_decision,12,2,0.9656634876609227
gpt-4o,4,explicit_decision,6,2,0.9221048809941141
gpt-4o,4,explicit_decision,4,3,0.9192909629512233
gpt-4o,4,explicit_decision,11,1,0.8826971418903226
gpt-4o,4,explicit_decision,10,2,0.8792827084784635
gpt-4o,4,explicit_decision,3,2,0.859169278273784
gpt-4o,4,explicit_decision,9,2,0.8386172058490722
gpt-4o,4,explicit_decision,1,3,0.7860620636082283
gpt-4o,4,explicit_decision,2,3,0.7364868399160494
gpt-4o,5,explicit_decision,1,2,0.9878291611472622
gpt-4o,5,explicit_decision,5,1,0.970725343394151
gpt-4o,5,explicit_decision,4,2,0.9375093422553951
gpt-4o,5,explicit_decision,2,2,0.8962581595302719
gpt-4o,5,explicit_decision,6,1,0.8277881133609984
gpt-4o,5,explicit_decision,3,1,0.7700969597097889
