grade,model,skill,k,r,replicate
4,deepseek-chat,Measurement & Data,0,0.76,0
4,deepseek-chat,Number & Operations in Base Ten,0,0.6521739130434784,0
4,deepseek-chat,Number & Operations—Fractions,0,0.6666666666666666,0
4,deepseek-chat,Operations & Algebraic Thinking,0,0.3,0
4,deepseek-chat,Measurement & Data,1,0.0,0
4,deepseek-chat,Number & Operations in Base Ten,0,0.5217391304347826,0
4,deepseek-chat,Number & Operations—Fractions,0,0.5238095238095238,0
4,deepseek-chat,Operations & Algebraic Thinking,0,0.15,0
4,deepseek-chat,Measurement & Data,1,0.03999999999999997,1
4,deepseek-chat,Number & Operations in Base Ten,0,0.5217391304347826,1
4,deepseek-chat,Number & Operations—Fractions,0,0.5238095238095238,1
4,deepseek-chat,Operations & Algebraic Thinking,0,0.25000000000000006,1
4,deepseek-chat,Measurement & Data,1,0.08000000000000006,2
4,deepseek-chat,Number & Operations in Base Ten,0,0.5217391304347826,2
4,deepseek-chat,Number & Operations—Fractions,0,0.5714285714285714,2
4,deepseek-chat,Operations & Algebraic Thinking,0,0.25000000000000006,2
4,deepseek-chat,Measurement & Data,1,0.03999999999999997,3
4,deepseek-chat,Number & Operations in Base Ten,0,0.5217391304347826,3
4,deepseek-chat,Number & Operations—Fractions,0,0.5714285714285714,3
4,deepseek-chat,Operations & Algebraic Thinking,0,0.20000000000000007,3
4,deepseek-chat,Measurement & Data,1,0.03999999999999997,4
4,deepseek-chat,Number & Operations in Base Ten,0,0.5217391304347826,4
4,deepseek-chat,Number & Operations—Fractions,0,0.5238095238095238,4
4,deepseek-chat,Operations & Algebraic Thinking,0,0.25000000000000006,4
4,deepseek-chat,Measurement & Data,0,0.48000000000000004,0
4,deepseek-chat,Number & Operations in Base Ten,1,0.04347826086956525,0
4,deepseek-chat,Number & Operations—Fractions,0,0.2857142857142857,0
4,deepseek-chat,Operations & Algebraic Thinking,0,0.3,0
4,deepseek-chat,Measurement & Data,0,0.36,1
4,deepseek-chat,Number & Operations in Base Ten,1,0.04347826086956525,1
4,deepseek-chat,Number & Operations—Fractions,0,0.3333333333333333,1
4,deepseek-chat,Operations & Algebraic Thinking,0,0.3,1
4,deepseek-chat,Measurement & Data,0,0.36,2
4,deepseek-chat,Number & Operations in Base Ten,1,0.04347826086956525,2
4,deepseek-chat,Number & Operations—Fractions,0,0.3333333333333333,2
4,deepseek-chat,Operations & Algebraic Thinking,0,0.3,2
4,deepseek-chat,Measurement & Data,0,0.36,3
4,deepseek-chat,Number & Operations in Base Ten,1,0.04347826086956525,3
4,deepseek-chat,Number & Operations—Fractions,0,0.3333333333333333,3
4,deepseek-chat,Operations & Algebraic Thinking,0,0.3,3
4,deepseek-chat,Measurement & Data,0,0.36,4
4,deepseek-chat,Number & Operations in Base Ten,1,0.04347826086956525,4
4,deepseek-chat,Number & Operations—Fractions,0,0.3333333333333333,4
4,deepseek-chat,Operations & Algebraic Thinking,0,0.3,4
4,deepseek-chat,Measurement & Data,1,0.0,0
4,deepseek-chat,Number & Operations in Base Ten,1,0.0,0
4,deepseek-chat,Number & Operations—Fractions,0,0.380952380952381,0
4,deepseek-chat,Operations & Algebraic Thinking,0,0.4,0
4,deepseek-chat,Measurement & Data,1,0.03999999999999997,1
4,deepseek-chat,Number & Operations in Base Ten,1,0.0,1
4,deepseek-chat,Number & Operations—Fractions,0,0.3333333333333333,1
4,deepseek-chat,Operations & Algebraic Thinking,0,0.3,1
4,deepseek-chat,Measurement & Data,1,0.03999999999999997,2
4,deepseek-chat,Number & Operations in Base Ten,1,0.0,2
4,deepseek-chat,Number & Operations—Fractions,0,0.3333333333333333,2
4,deepseek-chat,Operations & Algebraic Thinking,0,0.25000000000000006,2
4,deepseek-chat,Measurement & Data,1,0.03999999999999997,3
4,deepseek-chat,Number & Operations in Base Ten,1,0.0,3
4,deepseek-chat,Number & Operations—Fractions,0,0.380952380952381,3
4,deepseek-chat,Operations & Algebraic Thinking,0,0.25000000000000006,3
4,deepseek-chat,Measurement & Data,1,0.03999999999999997,4
4,deepseek-chat,Number & Operations in Base Ten,1,0.0,4
4,deepseek-chat,Number & Operations—Fractions,0,0.3333333333333333,4
4,deepseek-chat,Operations & Algebraic Thinking,0,0.3,4
4,deepseek-chat,Measurement & Data,0,0.4000000000000001,0
4,deepseek-chat,Number & Operations in Base Ten,0,0.43478260869565216,0
4,deepseek-chat,Number & Operations—Fractions,1,-0.047619047619047575,0
