grade,model,prompt,group,mean_r
4,claude-sonnet-4-5-20250929,combined,Forgotten (k=0),0.6898148148148149
4,claude-sonnet-4-5-20250929,combined,Retained (k=1),0.0894671201814059
4,deepseek-chat,combined,Forgotten (k=0),0.3680163043478261
4,deepseek-chat,combined,Retained (k=1),0.01675391895888791
4,gpt-4o,combined,Forgotten (k=0),0.6947372004357298
4,gpt-4o,combined,Retained (k=1),0.054697128851540606
4,claude-sonnet-4-5-20250929,few_shot,Forgotten (k=0),0.2636225912827743
4,claude-sonnet-4-5-20250929,few_shot,Retained (k=1),-0.04335829692809103
4,deepseek-chat,few_shot,Forgotten (k=0),0.0158965692117866
4,deepseek-chat,few_shot,Retained (k=1),0.0010373746336479223
4,gpt-4o,few_shot,Forgotten (k=0),0.14749376780626777
4,gpt-4o,few_shot,Retained (k=1),-0.01924221611721613
4,claude-sonnet-4-5-20250929,rule_based,Forgotten (k=0),0.8694342320261437
4,claude-sonnet-4-5-20250929,rule_based,Retained (k=1),0.5480567226890757
4,deepseek-chat,rule_based,Forgotten (k=0),0.23532654442980533
4,deepseek-chat,rule_based,Retained (k=1),0.019344061735366073
4,gpt-4o,rule_based,Forgotten (k=0),0.7222552910052911
4,gpt-4o,rule_based,Retained (k=1),-0.003061224489795911
5,claude-sonnet-4-5-20250929,combined,Forgotten (k=0),0.632217261904762
5,claude-sonnet-4-5-20250929,combined,Retained (k=1),0.36179894179894184
5,deepseek-chat,combined,Forgotten (k=0),0.5089325716845878
5,deepseek-chat,combined,Retained (k=1),0.017071551838576962
5,gpt-4o,combined,Forgotten (k=0),0.4435019841269841
5,gpt-4o,combined,Retained (k=1),0.001798941798941819
5,claude-sonnet-4-5-20250929,few_shot,Forgotten (k=0),0.013075698992608983
5,claude-sonnet-4-5-20250929,few_shot,Retained (k=1),-0.20610396556107916
5,deepseek-chat,few_shot,Forgotten (k=0),0.014159251019651466
5,deepseek-chat,few_shot,Retained (k=1),0.011469534050179211
5,gpt-4o,few_shot,Forgotten (k=0),0.0917397660818714
5,gpt-4o,few_shot,Retained (k=1),-0.05370370370370366
5,claude-sonnet-4-5-20250929,rule_based,Forgotten (k=0),0.7374999999999999
5,claude-sonnet-4-5-20250929,rule_based,Retained (k=1),0.46370370370370373
5,deepseek-chat,rule_based,Forgotten (k=0),0.21154943571560994
5,deepseek-chat,rule_based,Retained (k=1),0.0167840810777407
5,gpt-4o,rule_based,Forgotten (k=0),0.5251623376623377
5,gpt-4o,rule_based,Retained (k=1),0.03833573833573833
