model,grade,prompt,student_id,n_missing,pearson_r
deepseek-chat,4,explicit_decision,6,2,0.9911828830790386
deepseek-chat,4,explicit_decision,8,3,0.9863050979001063
deepseek-chat,4,explicit_decision,1,3,0.9841422366905666
deepseek-chat,4,explicit_decision,4,3,0.9817321111238317
deepseek-chat,4,explicit_decision,10,2,0.9788293882334811
deepseek-chat,4,explicit_decision,9,2,0.9688410176843695
deepseek-chat,4,explicit_decision,5,2,0.9477916206518008
deepseek-chat,4,explicit_decision,2,3,0.9458853817916983
deepseek-chat,4,explicit_decision,3,2,0.9395127767653114
deepseek-chat,4,explicit_decision,13,1,0.9344703164211209
deepseek-chat,4,explicit_decision,12,2,0.8612277153734775
deepseek-chat,4,explicit_decision,7,1,0.8542070346953623
deepseek-chat,4,explicit_decision,14,1,0.7803516925597129
deepseek-chat,4,explicit_decision,11,1,0.758262104556629
deepseek-chat,5,explicit_decision,1,2,0.987829161147262
deepseek-chat,5,explicit_decision,5,1,0.9862413826124555
deepseek-chat,5,explicit_decision,4,2,0.970725343394151
deepseek-chat,5,explicit_decision,2,2,0.9449111825230679
deepseek-chat,5,explicit_decision,3,1,0.6362847629757779
deepseek-chat,5,explicit_decision,6,1,0.3812464258315116
