model,grade,prompt,skill_idx,q0,r_i,k,r_max,efficiency,offTarget_eff
deepseek-chat,4,minimal,0,0.9230769230769231,0.0,1,0.7291666666666666,,0.0
deepseek-chat,4,minimal,1,0.88,0.0,1,0.7159090909090909,,0.0
deepseek-chat,4,minimal,2,0.9583333333333334,0.0,1,0.7391304347826088,,0.0
deepseek-chat,4,minimal,3,0.8333333333333334,0.0,1,0.7000000000000001,,0.0
deepseek-chat,4,explicit_decision,0,0.9230769230769231,0.8333333333333334,0,0.7291666666666666,1.142857142857143,
deepseek-chat,4,explicit_decision,1,0.88,0.6363636363636365,0,0.7159090909090909,0.888888888888889,
deepseek-chat,4,explicit_decision,2,0.9583333333333334,0.9130434782608695,0,0.7391304347826088,1.2352941176470587,
deepseek-chat,4,explicit_decision,3,0.8333333333333334,0.85,0,0.7000000000000001,1.2142857142857142,
deepseek-chat,4,explicit_decision,0,0.9230769230769231,0.041666666666666755,1,0.7291666666666666,,0.057142857142857266
deepseek-chat,4,explicit_decision,1,0.88,0.6363636363636365,0,0.7159090909090909,0.888888888888889,
deepseek-chat,4,explicit_decision,2,0.9583333333333334,0.9565217391304348,0,0.7391304347826088,1.2941176470588234,
deepseek-chat,4,explicit_decision,3,0.8333333333333334,0.8999999999999999,0,0.7000000000000001,1.2857142857142854,
deepseek-chat,4,explicit_decision,0,0.9230769230769231,0.8333333333333334,0,0.7291666666666666,1.142857142857143,
deepseek-chat,4,explicit_decision,1,0.88,-0.0454545454545455,1,0.7159090909090909,,0.06349206349206354
deepseek-chat,4,explicit_decision,2,0.9583333333333334,0.9130434782608695,0,0.7391304347826088,1.2352941176470587,
deepseek-chat,4,explicit_decision,3,0.8333333333333334,0.8,0,0.7000000000000001,1.1428571428571428,
deepseek-chat,4,explicit_decision,0,0.9230769230769231,0.0,1,0.7291666666666666,,0.0
deepseek-chat,4,explicit_decision,1,0.88,-0.0454545454545455,1,0.7159090909090909,,0.06349206349206354
deepseek-chat,4,explicit_decision,2,0.9583333333333334,0.8695652173913043,0,0.7391304347826088,1.176470588235294,
deepseek-chat,4,explicit_decision,3,0.8333333333333334,0.8999999999999999,0,0.7000000000000001,1.2857142857142854,
deepseek-chat,4,explicit_decision,0,0.9230769230769231,0.875,0,0.7291666666666666,1.2,
deepseek-chat,4,explicit_decision,1,0.88,0.5,0,0.7159090909090909,0.6984126984126984,
deepseek-chat,4,explicit_decision,2,0.9583333333333334,0.2173913043478261,1,0.7391304347826088,,0.29411764705882354
deepseek-chat,4,explicit_decision,3,0.8333333333333334,0.85,0,0.7000000000000001,1.2142857142857142,
deepseek-chat,4,explicit_decision,0,0.9230769230769231,0.041666666666666755,1,0.7291666666666666,,0.057142857142857266
deepseek-chat,4,explicit_decision,1,0.88,0.5,0,0.7159090909090909,0.6984126984126984,
deepseek-chat,4,explicit_decision,2,0.9583333333333334,0.2173913043478261,1,0.7391304347826088,,0.29411764705882354
deepseek-chat,4,explicit_decision,3,0.8333333333333334,0.8999999999999999,0,0.7000000000000001,1.2857142857142854,
deepseek-chat,4,explicit_decision,0,0.9230769230769231,0.8333333333333334,0,0.7291666666666666,1.142857142857143,
deepseek-chat,4,explicit_decision,1,0.88,-0.0454545454545455,1,0.7159090909090909,,0.06349206349206354
deepseek-chat,4,explicit_decision,2,0.9583333333333334,0.2173913043478261,1,0.7391304347826088,,0.29411764705882354
deepseek-chat,4,explicit_decision,3,0.8333333333333334,0.85,0,0.7000000000000001,1.2142857142857142,
deepseek-chat,4,explicit_decision,0,0.9230769230769231,0.0,1,0.7291666666666666,,0.0
deepseek-chat,4,explicit_decision,1,0.88,0.0,1,0.7159090909090909,,0.0
deepseek-chat,4,explicit_decision,2,0.9583333333333334,0.3478260869565218,1,0.7391304347826088,,0.4705882352941177
deepseek-chat,4,explicit_decision,3,0.8333333333333334,0.8999999999999999,0,0.7000000000000001,1.2857142857142854,
deepseek-chat,4,explicit_decision,0,0.9230769230769231,0.8333333333333334,0,0.7291666666666666,1.142857142857143,
deepseek-chat,4,explicit_decision,1,0.88,0.5909090909090909,0,0.7159090909090909,0.8253968253968254,
deepseek-chat,4,explicit_decision,2,0.9583333333333334,0.8695652173913043,0,0.7391304347826088,1.176470588235294,
deepseek-chat,4,explicit_decision,3,0.8333333333333334,0.050000000000000086,1,0.7000000000000001,,0.07142857142857155
deepseek-chat,4,explicit_decision,0,0.9230769230769231,0.041666666666666755,1,0.7291666666666666,,0.057142857142857266
deepseek-chat,4,explicit_decision,1,0.88,0.5,0,0.7159090909090909,0.6984126984126984,
