grade,model,prompt,skill,accuracy
4,claude-sonnet-4-5-20250929,explicit_decision,Measurement & Data,0.8846153846153846
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,0.92
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,1.0
4,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,0.7916666666666666
4,deepseek-chat,minimal,Measurement & Data,0.9230769230769231
4,deepseek-chat,minimal,Number & Operations in Base Ten,0.88
4,deepseek-chat,minimal,Number & Operations—Fractions,0.9583333333333334
4,deepseek-chat,minimal,Operations & Algebraic Thinking,0.8333333333333334
4,gpt-4o,explicit_decision,Measurement & Data,0.6923076923076923
4,gpt-4o,explicit_decision,Number & Operations in Base Ten,0.56
4,gpt-4o,explicit_decision,Number & Operations—Fractions,0.958
4,gpt-4o,explicit_decision,Operations & Algebraic Thinking,0.625
5,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,0.9393939393939394
5,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,0.7575757575757576
5,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,0.8787878787878788
5,deepseek-chat,minimal,Number & Operations in Base Ten,0.9696969696969697
5,deepseek-chat,minimal,Number & Operations—Fractions,0.8181818181818182
5,deepseek-chat,minimal,Operations & Algebraic Thinking,0.8787878787878788
5,gpt-4o,explicit_decision,Number & Operations in Base Ten,0.696969696969697
5,gpt-4o,explicit_decision,Number & Operations—Fractions,0.424242
5,gpt-4o,explicit_decision,Operations & Algebraic Thinking,0.60606
