model,grade,prompt,skill_idx,q0,r_i,k,r_max,efficiency,offTarget_eff
deepseek-chat,4,rule_based,0,0.9230769230769231,0.3333333333333333,0,0.7291666666666666,0.45714285714285713,
deepseek-chat,4,rule_based,1,0.92,0.3478260869565218,0,0.7282608695652174,0.4776119402985075,
deepseek-chat,4,rule_based,2,0.9166666666666666,0.1818181818181818,0,0.7272727272727273,0.24999999999999997,
deepseek-chat,4,rule_based,3,0.9166666666666666,0.8181818181818182,0,0.7272727272727273,1.125,
deepseek-chat,4,rule_based,0,0.9230769230769231,-0.04166666666666664,1,0.7291666666666666,,0.057142857142857106
deepseek-chat,4,rule_based,1,0.92,0.0869565217391305,0,0.7282608695652174,0.11940298507462696,
deepseek-chat,4,rule_based,2,0.9166666666666666,0.045454545454545414,0,0.7272727272727273,0.062499999999999944,
deepseek-chat,4,rule_based,3,0.9166666666666666,0.6363636363636364,0,0.7272727272727273,0.875,
deepseek-chat,4,rule_based,0,0.9230769230769231,0.041666666666666755,1,0.7291666666666666,,0.057142857142857266
deepseek-chat,4,rule_based,1,0.92,0.13043478260869565,0,0.7282608695652174,0.1791044776119403,
deepseek-chat,4,rule_based,2,0.9166666666666666,0.045454545454545414,0,0.7272727272727273,0.062499999999999944,
deepseek-chat,4,rule_based,3,0.9166666666666666,0.6363636363636364,0,0.7272727272727273,0.875,
deepseek-chat,4,rule_based,0,0.9230769230769231,0.041666666666666755,1,0.7291666666666666,,0.057142857142857266
deepseek-chat,4,rule_based,1,0.92,0.13043478260869565,0,0.7282608695652174,0.1791044776119403,
deepseek-chat,4,rule_based,2,0.9166666666666666,0.045454545454545414,0,0.7272727272727273,0.062499999999999944,
deepseek-chat,4,rule_based,3,0.9166666666666666,0.5909090909090909,0,0.7272727272727273,0.8125,
deepseek-chat,4,rule_based,0,0.9230769230769231,0.0,1,0.7291666666666666,,0.0
deepseek-chat,4,rule_based,1,0.92,0.13043478260869565,0,0.7282608695652174,0.1791044776119403,
deepseek-chat,4,rule_based,2,0.9166666666666666,0.045454545454545414,0,0.7272727272727273,0.062499999999999944,
deepseek-chat,4,rule_based,3,0.9166666666666666,0.5909090909090909,0,0.7272727272727273,0.8125,
deepseek-chat,4,rule_based,0,0.9230769230769231,0.041666666666666755,1,0.7291666666666666,,0.057142857142857266
deepseek-chat,4,rule_based,1,0.92,0.13043478260869565,0,0.7282608695652174,0.1791044776119403,
deepseek-chat,4,rule_based,2,0.9166666666666666,0.045454545454545414,0,0.7272727272727273,0.062499999999999944,
deepseek-chat,4,rule_based,3,0.9166666666666666,0.6363636363636364,0,0.7272727272727273,0.875,
deepseek-chat,4,rule_based,0,0.9230769230769231,0.16666666666666666,0,0.7291666666666666,0.22857142857142856,
deepseek-chat,4,rule_based,1,0.92,0.04347826086956525,1,0.7282608695652174,,0.05970149253731348
deepseek-chat,4,rule_based,2,0.9166666666666666,0.045454545454545414,0,0.7272727272727273,0.062499999999999944,
deepseek-chat,4,rule_based,3,0.9166666666666666,0.6818181818181819,0,0.7272727272727273,0.9375000000000001,
deepseek-chat,4,rule_based,0,0.9230769230769231,0.16666666666666666,0,0.7291666666666666,0.22857142857142856,
deepseek-chat,4,rule_based,1,0.92,0.04347826086956525,1,0.7282608695652174,,0.05970149253731348
deepseek-chat,4,rule_based,2,0.9166666666666666,0.09090909090909083,0,0.7272727272727273,0.12499999999999989,
deepseek-chat,4,rule_based,3,0.9166666666666666,0.6818181818181819,0,0.7272727272727273,0.9375000000000001,
deepseek-chat,4,rule_based,0,0.9230769230769231,0.16666666666666666,0,0.7291666666666666,0.22857142857142856,
deepseek-chat,4,rule_based,1,0.92,0.04347826086956525,1,0.7282608695652174,,0.05970149253731348
deepseek-chat,4,rule_based,2,0.9166666666666666,0.045454545454545414,0,0.7272727272727273,0.062499999999999944,
deepseek-chat,4,rule_based,3,0.9166666666666666,0.6818181818181819,0,0.7272727272727273,0.9375000000000001,
deepseek-chat,4,rule_based,0,0.9230769230769231,0.16666666666666666,0,0.7291666666666666,0.22857142857142856,
deepseek-chat,4,rule_based,1,0.92,0.04347826086956525,1,0.7282608695652174,,0.05970149253731348
deepseek-chat,4,rule_based,2,0.9166666666666666,0.09090909090909083,0,0.7272727272727273,0.12499999999999989,
deepseek-chat,4,rule_based,3,0.9166666666666666,0.6818181818181819,0,0.7272727272727273,0.9375000000000001,
deepseek-chat,4,rule_based,0,0.9230769230769231,0.16666666666666666,0,0.7291666666666666,0.22857142857142856,
deepseek-chat,4,rule_based,1,0.92,0.04347826086956525,1,0.7282608695652174,,0.05970149253731348
deepseek-chat,4,rule_based,2,0.9166666666666666,0.045454545454545414,0,0.7272727272727273,0.062499999999999944,
deepseek-chat,4,rule_based,3,0.9166666666666666,0.6818181818181819,0,0.7272727272727273,0.9375000000000001,
deepseek-chat,4,rule_based,0,0.9230769230769231,-0.04166666666666664,1,0.7291666666666666,,0.057142857142857106
deepseek-chat,4,rule_based,1,0.92,0.0,1,0.7282608695652174,,0.0
deepseek-chat,4,rule_based,2,0.9166666666666666,-0.04545454545454554,0,0.7272727272727273,-0.06250000000000011,
deepseek-chat,4,rule_based,3,0.9166666666666666,0.5454545454545454,0,0.7272727272727273,0.7499999999999999,
deepseek-chat,4,rule_based,0,0.9230769230769231,-0.04166666666666664,1,0.7291666666666666,,0.057142857142857106
deepseek-chat,4,rule_based,1,0.92,0.0,1,0.7282608695652174,,0.0
deepseek-chat,4,rule_based,2,0.9166666666666666,-0.04545454545454554,0,0.7272727272727273,-0.06250000000000011,
deepseek-chat,4,rule_based,3,0.9166666666666666,0.5454545454545454,0,0.7272727272727273,0.7499999999999999,
deepseek-chat,4,rule_based,0,0.9230769230769231,-0.04166666666666664,1,0.7291666666666666,,0.057142857142857106
deepseek-chat,4,rule_based,1,0.92,0.0,1,0.7282608695652174,,0.0
deepseek-chat,4,rule_based,2,0.9166666666666666,-0.04545454545454554,0,0.7272727272727273,-0.06250000000000011,
deepseek-chat,4,rule_based,3,0.9166666666666666,0.5454545454545454,0,0.7272727272727273,0.7499999999999999,
deepseek-chat,4,rule_based,0,0.9230769230769231,-0.04166666666666664,1,0.7291666666666666,,0.057142857142857106
