model,prompt,skill,r
claude-sonnet-4-5-20250929,combined,Measurement & Data,0.18229166666666669
claude-sonnet-4-5-20250929,combined,Number & Operations in Base Ten,0.029761904761904736
claude-sonnet-4-5-20250929,combined,Number & Operations—Fractions,0.859375
claude-sonnet-4-5-20250929,combined,Operations & Algebraic Thinking,0.5687500000000001
claude-sonnet-4-5-20250929,few_shot,Measurement & Data,-0.010416666666666616
claude-sonnet-4-5-20250929,few_shot,Number & Operations in Base Ten,-0.06547619047619055
claude-sonnet-4-5-20250929,few_shot,Number & Operations—Fractions,0.046875
claude-sonnet-4-5-20250929,few_shot,Operations & Algebraic Thinking,-0.05921052631578955
claude-sonnet-4-5-20250929,rule_based,Measurement & Data,0.34375000000000006
claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,0.24999999999999994
claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,0.9322916666666666
claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,0.65
