grade,prompt,student_id,n_missing,pearson_r
4,combined,11,1,0.99476391943716
4,combined,7,1,0.992860785303285
4,combined,3,2,0.9681984244105092
4,combined,4,3,0.7237129257477108
4,combined,5,2,0.637619802206142
4,combined,10,2,0.6276482275822829
4,combined,6,2,0.5919819708835513
4,combined,2,3,0.5731831646435628
4,combined,12,2,0.5562704590416417
4,combined,9,2,0.4717283851894748
4,combined,1,3,0.46303184328185554
4,combined,8,3,0.3704545701852683
4,combined,13,1,0.18323842353236405
4,combined,14,1,0.05645544841427063
4,few_shot,4,3,0.9978700745473909
4,few_shot,7,1,0.9474283486917725
4,few_shot,5,2,0.8934636662508516
4,few_shot,1,3,0.30606073419935803
4,few_shot,12,2,0.2797939918896174
4,few_shot,6,2,0.20964274704611105
4,few_shot,2,3,0.19528654959524122
4,few_shot,13,1,0.08129738252170435
4,few_shot,3,2,0.020399668712069944
4,few_shot,14,1,-0.15669273454258026
4,few_shot,9,2,-0.40893012367510995
4,few_shot,11,1,-0.6647256570892304
4,few_shot,8,3,-0.8208891021336603
4,few_shot,10,2,-0.9523440757991589
4,rule_based,11,1,0.9967696960833671
4,rule_based,7,1,0.9661348788687172
4,rule_based,3,2,0.9602645847485085
4,rule_based,4,3,0.9197452464970831
4,rule_based,6,2,0.9053783596984629
4,rule_based,12,2,0.8109884346777574
4,rule_based,5,2,0.7886618947505462
4,rule_based,14,1,0.780221735427478
4,rule_based,10,2,0.7129467720292164
4,rule_based,2,3,0.6878221340318488
4,rule_based,9,2,0.6176726037562366
4,rule_based,1,3,0.5998066325200029
4,rule_based,13,1,0.578794633992502
4,rule_based,8,3,0.46793568049682444
