model,grade,prompt,student_id,n_missing,pearson_r
claude-sonnet-4-5-20250929,4,explicit_decision,8,3,0.99883344194168
claude-sonnet-4-5-20250929,4,explicit_decision,9,2,0.9982152093771872
claude-sonnet-4-5-20250929,4,explicit_decision,5,2,0.9939877887142012
claude-sonnet-4-5-20250929,4,explicit_decision,3,2,0.992264754049439
claude-sonnet-4-5-20250929,4,explicit_decision,7,1,0.9922078037621775
claude-sonnet-4-5-20250929,4,explicit_decision,4,3,0.9915480873623786
claude-sonnet-4-5-20250929,4,explicit_decision,10,2,0.9887791686177194
claude-sonnet-4-5-20250929,4,explicit_decision,11,1,0.9865051114692772
claude-sonnet-4-5-20250929,4,explicit_decision,2,3,0.9862867061840611
claude-sonnet-4-5-20250929,4,explicit_decision,1,3,0.9851673209637625
claude-sonnet-4-5-20250929,4,explicit_decision,14,1,0.9849780549626544
claude-sonnet-4-5-20250929,4,explicit_decision,13,1,0.980577769106251
claude-sonnet-4-5-20250929,4,explicit_decision,12,2,0.9767120034674815
claude-sonnet-4-5-20250929,4,explicit_decision,6,2,0.9756635335395016
claude-sonnet-4-5-20250929,5,explicit_decision,4,2,0.999504500754119
claude-sonnet-4-5-20250929,5,explicit_decision,5,1,0.9944243241235435
claude-sonnet-4-5-20250929,5,explicit_decision,1,2,0.9905360646879091
claude-sonnet-4-5-20250929,5,explicit_decision,2,2,0.9837827088491454
claude-sonnet-4-5-20250929,5,explicit_decision,6,1,0.9803156180632391
claude-sonnet-4-5-20250929,5,explicit_decision,3,1,0.9732227014483794
