grade,model,prompt,skill,k,q0,q1,r
4,claude-sonnet-4-5-20250929,combined,Measurement & Data,0,0.8076923076923077,0.37393162393162394,0.5370370370370371
4,claude-sonnet-4-5-20250929,combined,Measurement & Data,1,0.8076923076923077,0.44505494505494503,0.44897959183673475
4,claude-sonnet-4-5-20250929,combined,Number & Operations in Base Ten,0,0.6,0.2,0.6666666666666666
4,claude-sonnet-4-5-20250929,combined,Number & Operations in Base Ten,1,0.6,0.5051428571428571,0.15809523809523804
4,claude-sonnet-4-5-20250929,combined,Number & Operations—Fractions,0,0.5,0.041666666666666664,0.9166666666666666
4,claude-sonnet-4-5-20250929,combined,Number & Operations—Fractions,1,0.5,0.7666666666666666,-0.5333333333333333
4,claude-sonnet-4-5-20250929,combined,Operations & Algebraic Thinking,0,0.75,0.2708333333333333,0.6388888888888888
4,claude-sonnet-4-5-20250929,combined,Operations & Algebraic Thinking,1,0.75,0.5369047619047619,0.2841269841269841
4,claude-sonnet-4-5-20250929,few_shot,Measurement & Data,0,0.8846153846153846,0.6185897435897436,0.3007246376811594
4,claude-sonnet-4-5-20250929,few_shot,Measurement & Data,1,0.8846153846153846,0.721978021978022,0.18385093167701858
4,claude-sonnet-4-5-20250929,few_shot,Number & Operations in Base Ten,0,0.6,0.5888888888888889,0.01851851851851847
4,claude-sonnet-4-5-20250929,few_shot,Number & Operations in Base Ten,1,0.6,0.7622857142857142,-0.2704761904761906
4,claude-sonnet-4-5-20250929,few_shot,Number & Operations—Fractions,0,0.9166666666666666,0.7037037037037037,0.23232323232323232
4,claude-sonnet-4-5-20250929,few_shot,Number & Operations—Fractions,1,0.9166666666666665,0.9976190476190475,-0.08831168831168835
4,claude-sonnet-4-5-20250929,few_shot,Operations & Algebraic Thinking,0,0.7916666666666666,0.3935185185185185,0.5029239766081871
4,claude-sonnet-4-5-20250929,few_shot,Operations & Algebraic Thinking,1,0.7916666666666666,0.7904761904761906,0.0015037593984961958
4,claude-sonnet-4-5-20250929,rule_based,Measurement & Data,0,0.6538461538461539,0.09081196581196581,0.861111111111111
4,claude-sonnet-4-5-20250929,rule_based,Measurement & Data,1,0.6538461538461539,0.17802197802197803,0.7277310924369748
4,claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,0,0.32,0.04111111111111111,0.8715277777777778
4,claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,1,0.32,0.06285714285714286,0.8035714285714286
4,claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,0,0.7083333333333334,0.04282407407407407,0.9395424836601308
4,claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,1,0.7083333333333334,0.5285714285714286,0.253781512605042
4,claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,0,0.6666666666666666,0.12962962962962965,0.8055555555555556
4,claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,1,0.6666666666666666,0.3952380952380953,0.4071428571428571
5,claude-sonnet-4-5-20250929,combined,Number & Operations in Base Ten,0,0.6363636363636364,0.13636363636363635,0.7857142857142857
5,claude-sonnet-4-5-20250929,combined,Number & Operations in Base Ten,1,0.6363636363636364,0.3656565656565657,0.42539682539682544
5,claude-sonnet-4-5-20250929,combined,Number & Operations—Fractions,0,0.24242424242424243,0.08143939393939394,0.6640625
5,claude-sonnet-4-5-20250929,combined,Number & Operations—Fractions,1,0.24242424242424246,0.20202020202020202,0.16666666666666666
5,claude-sonnet-4-5-20250929,combined,Operations & Algebraic Thinking,0,0.6060606060606061,0.3352272727272727,0.446875
5,claude-sonnet-4-5-20250929,combined,Operations & Algebraic Thinking,1,0.6060606060606061,0.3070707070707071,0.49333333333333335
5,claude-sonnet-4-5-20250929,few_shot,Number & Operations in Base Ten,0,0.696969696969697,0.5587121212121212,0.19836956521739135
5,claude-sonnet-4-5-20250929,few_shot,Number & Operations in Base Ten,1,0.696969696969697,0.9131313131313131,-0.31014492753623185
5,claude-sonnet-4-5-20250929,few_shot,Number & Operations—Fractions,0,0.5757575757575758,0.7083333333333334,-0.23026315789473678
5,claude-sonnet-4-5-20250929,few_shot,Number & Operations—Fractions,1,0.5757575757575758,0.7333333333333333,-0.2736842105263157
5,claude-sonnet-4-5-20250929,few_shot,Operations & Algebraic Thinking,0,0.8787878787878788,0.8162878787878788,0.07112068965517238
5,claude-sonnet-4-5-20250929,few_shot,Operations & Algebraic Thinking,1,0.8787878787878788,0.9090909090909091,-0.03448275862068965
5,claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,0,0.30303030303030304,0.06628787878787878,0.78125
5,claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,1,0.30303030303030304,0.16363636363636364,0.45999999999999996
5,claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,0,0.09090909090909091,0.02840909090909091,0.6875
5,claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,1,0.09090909090909091,0.06262626262626263,0.31111111111111106
5,claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,0,0.30303030303030304,0.07765151515151515,0.74375
5,claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,1,0.30303030303030304,0.11515151515151516,0.6199999999999999
