model,grade,prompt,student_id,n_missing,pearson_r
claude-sonnet-4-5-20250929,4,combined,9,2,0.9830204240991606
claude-sonnet-4-5-20250929,4,combined,7,1,0.9688767514171117
claude-sonnet-4-5-20250929,4,combined,4,3,0.9676391941524094
claude-sonnet-4-5-20250929,4,combined,12,2,0.9610477137369074
claude-sonnet-4-5-20250929,4,combined,11,1,0.9518470957363302
claude-sonnet-4-5-20250929,4,combined,3,2,0.9363339937104515
claude-sonnet-4-5-20250929,4,combined,8,3,0.9094570077976608
claude-sonnet-4-5-20250929,4,combined,13,1,0.8761257224511245
claude-sonnet-4-5-20250929,4,combined,10,2,0.8090530646446206
claude-sonnet-4-5-20250929,4,combined,6,2,0.7043749956113965
claude-sonnet-4-5-20250929,4,combined,14,1,0.6517211613184216
claude-sonnet-4-5-20250929,4,combined,5,2,0.6230135379029693
claude-sonnet-4-5-20250929,4,combined,1,3,0.5974634979445703
claude-sonnet-4-5-20250929,4,combined,2,3,0.4983447695211117
claude-sonnet-4-5-20250929,4,few_shot,6,2,0.9779506222136404
claude-sonnet-4-5-20250929,4,few_shot,12,2,0.9213868757978314
claude-sonnet-4-5-20250929,4,few_shot,7,1,0.9033256469084894
claude-sonnet-4-5-20250929,4,few_shot,5,2,0.8846469442223233
claude-sonnet-4-5-20250929,4,few_shot,4,3,0.8267172606024876
claude-sonnet-4-5-20250929,4,few_shot,2,3,0.8089823639675288
claude-sonnet-4-5-20250929,4,few_shot,8,3,0.7710339559894374
claude-sonnet-4-5-20250929,4,few_shot,13,1,0.7653342772410299
claude-sonnet-4-5-20250929,4,few_shot,1,3,0.6410732120041681
claude-sonnet-4-5-20250929,4,few_shot,3,2,0.45982324482757747
claude-sonnet-4-5-20250929,4,few_shot,9,2,0.28953499397249455
claude-sonnet-4-5-20250929,4,few_shot,10,2,0.1419307665884662
claude-sonnet-4-5-20250929,4,few_shot,14,1,0.08243279908590326
claude-sonnet-4-5-20250929,4,few_shot,11,1,-0.39253872681709273
claude-sonnet-4-5-20250929,4,rule_based,4,3,0.9606802328703229
claude-sonnet-4-5-20250929,4,rule_based,8,3,0.9548660329064595
claude-sonnet-4-5-20250929,4,rule_based,12,2,0.9367047040023727
claude-sonnet-4-5-20250929,4,rule_based,13,1,0.8154669864716596
claude-sonnet-4-5-20250929,4,rule_based,11,1,0.6465551029321371
claude-sonnet-4-5-20250929,4,rule_based,10,2,0.5771649324443997
claude-sonnet-4-5-20250929,4,rule_based,9,2,0.5153807945087819
claude-sonnet-4-5-20250929,4,rule_based,5,2,0.5022746709203892
claude-sonnet-4-5-20250929,4,rule_based,14,1,0.47470822038767757
claude-sonnet-4-5-20250929,4,rule_based,3,2,0.3484167242509747
claude-sonnet-4-5-20250929,4,rule_based,6,2,0.321068743778546
claude-sonnet-4-5-20250929,4,rule_based,7,1,0.08815397555189876
claude-sonnet-4-5-20250929,4,rule_based,1,3,-0.453188920976803
claude-sonnet-4-5-20250929,4,rule_based,2,3,-0.8490445135141554
claude-sonnet-4-5-20250929,5,combined,4,2,0.9940874293199052
claude-sonnet-4-5-20250929,5,combined,5,1,0.9639278544917692
claude-sonnet-4-5-20250929,5,combined,1,2,0.8346750651930227
claude-sonnet-4-5-20250929,5,combined,6,1,0.6546536707079769
claude-sonnet-4-5-20250929,5,combined,2,2,0.4335549847620599
claude-sonnet-4-5-20250929,5,combined,3,1,-0.09357486023220539
claude-sonnet-4-5-20250929,5,few_shot,5,1,0.9481408128202546
claude-sonnet-4-5-20250929,5,few_shot,6,1,0.8739317764031402
claude-sonnet-4-5-20250929,5,few_shot,4,2,0.8610913777185957
claude-sonnet-4-5-20250929,5,few_shot,1,2,0.6185895741317415
claude-sonnet-4-5-20250929,5,few_shot,3,1,0.5654661730944508
claude-sonnet-4-5-20250929,5,few_shot,2,2,0.05241424183609625
claude-sonnet-4-5-20250929,5,rule_based,1,2,0.998906107238672
claude-sonnet-4-5-20250929,5,rule_based,5,1,0.9984427709212879
claude-sonnet-4-5-20250929,5,rule_based,4,2,0.9260490081948334
claude-sonnet-4-5-20250929,5,rule_based,6,1,0.4999999999999998
claude-sonnet-4-5-20250929,5,rule_based,3,1,0.3812464258315117
claude-sonnet-4-5-20250929,5,rule_based,2,2,7.850462293418875e-17
