grade,model,prompt,precision,recall,f1
4,claude-sonnet-4-5-20250929,combined,0.6238938053097345,0.9791666666666666,0.762162162162162
4,claude-sonnet-4-5-20250929,few_shot,0.8166666666666667,0.6805555555555556,0.7424242424242424
4,claude-sonnet-4-5-20250929,rule_based,0.5313653136531366,1.0,0.6939759036144579
4,deepseek-chat,combined,1.0,0.9375,0.967741935483871
4,deepseek-chat,few_shot,0.0,0.0,0.0
4,deepseek-chat,rule_based,1.0,0.5138888888888888,0.6788990825688073
4,gpt-4o,combined,0.935064935064935,1.0,0.9664429530201343
4,gpt-4o,few_shot,1.0,0.4861111111111111,0.6542056074766355
4,gpt-4o,rule_based,0.9171974522292994,1.0,0.9568106312292359
5,claude-sonnet-4-5-20250929,combined,0.5402298850574713,0.9791666666666666,0.6962962962962962
5,claude-sonnet-4-5-20250929,few_shot,1.0,0.3541666666666667,0.5230769230769231
5,claude-sonnet-4-5-20250929,rule_based,0.5517241379310345,1.0,0.7111111111111111
5,deepseek-chat,combined,1.0,1.0,1.0
5,deepseek-chat,few_shot,0.0,0.0,0.0
5,deepseek-chat,rule_based,1.0,0.9583333333333334,0.9787234042553191
5,gpt-4o,combined,0.96,1.0,0.9795918367346939
5,gpt-4o,few_shot,1.0,0.4583333333333333,0.6285714285714286
5,gpt-4o,rule_based,0.9411764705882353,1.0,0.9696969696969697
