model,prompt,skill,n_missing,acc_S
claude-sonnet-4-5-20250929,combined,Measurement & Data,1,0.3
claude-sonnet-4-5-20250929,combined,Measurement & Data,2,0.41794871794871796
claude-sonnet-4-5-20250929,combined,Measurement & Data,3,0.358974358974359
claude-sonnet-4-5-20250929,combined,Measurement & Data,4,0.3076923076923077
claude-sonnet-4-5-20250929,combined,Number & Operations in Base Ten,1,0.08
claude-sonnet-4-5-20250929,combined,Number & Operations in Base Ten,2,0.24266666666666667
claude-sonnet-4-5-20250929,combined,Number & Operations in Base Ten,3,0.19466666666666665
claude-sonnet-4-5-20250929,combined,Number & Operations in Base Ten,4,0.24
claude-sonnet-4-5-20250929,combined,Number & Operations—Fractions,1,0.041666666666666664
claude-sonnet-4-5-20250929,combined,Number & Operations—Fractions,2,0.041666666666666664
claude-sonnet-4-5-20250929,combined,Number & Operations—Fractions,3,0.041666666666666664
claude-sonnet-4-5-20250929,combined,Number & Operations—Fractions,4,0.041666666666666664
claude-sonnet-4-5-20250929,combined,Operations & Algebraic Thinking,1,0.21666666666666665
claude-sonnet-4-5-20250929,combined,Operations & Algebraic Thinking,2,0.2722222222222222
claude-sonnet-4-5-20250929,combined,Operations & Algebraic Thinking,3,0.28888888888888886
claude-sonnet-4-5-20250929,combined,Operations & Algebraic Thinking,4,0.25
claude-sonnet-4-5-20250929,few_shot,Measurement & Data,1,0.8076923076923077
claude-sonnet-4-5-20250929,few_shot,Measurement & Data,2,0.5384615384615384
claude-sonnet-4-5-20250929,few_shot,Measurement & Data,3,0.6512820512820513
claude-sonnet-4-5-20250929,few_shot,Measurement & Data,4,0.38461538461538464
claude-sonnet-4-5-20250929,few_shot,Number & Operations in Base Ten,1,0.48
claude-sonnet-4-5-20250929,few_shot,Number & Operations in Base Ten,2,0.5173333333333333
claude-sonnet-4-5-20250929,few_shot,Number & Operations in Base Ten,3,0.6880000000000001
claude-sonnet-4-5-20250929,few_shot,Number & Operations in Base Ten,4,0.72
claude-sonnet-4-5-20250929,few_shot,Number & Operations—Fractions,1,0.8333333333333334
claude-sonnet-4-5-20250929,few_shot,Number & Operations—Fractions,2,0.7833333333333333
claude-sonnet-4-5-20250929,few_shot,Number & Operations—Fractions,3,0.611111111111111
claude-sonnet-4-5-20250929,few_shot,Number & Operations—Fractions,4,0.25
claude-sonnet-4-5-20250929,few_shot,Operations & Algebraic Thinking,1,0.375
claude-sonnet-4-5-20250929,few_shot,Operations & Algebraic Thinking,2,0.3638888888888889
claude-sonnet-4-5-20250929,few_shot,Operations & Algebraic Thinking,3,0.43611111111111106
claude-sonnet-4-5-20250929,few_shot,Operations & Algebraic Thinking,4,0.2916666666666667
claude-sonnet-4-5-20250929,rule_based,Measurement & Data,1,0.2846153846153846
claude-sonnet-4-5-20250929,rule_based,Measurement & Data,2,0.04358974358974359
claude-sonnet-4-5-20250929,rule_based,Measurement & Data,3,0.07435897435897436
claude-sonnet-4-5-20250929,rule_based,Measurement & Data,4,0.07692307692307693
claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,1,0.20800000000000002
claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,2,0.013333333333333334
claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,3,0.013333333333333334
claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,4,0.04
claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,1,0.05833333333333333
claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,2,0.041666666666666664
claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,3,0.041666666666666664
claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,4,0.0
claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,1,0.2416666666666667
claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,2,0.1361111111111111
claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,3,0.08888888888888888
claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,4,0.08333333333333333
deepseek-chat,combined,Measurement & Data,1,0.5076923076923077
deepseek-chat,combined,Measurement & Data,2,0.5102564102564102
deepseek-chat,combined,Measurement & Data,3,0.6102564102564102
deepseek-chat,combined,Measurement & Data,4,0.23076923076923078
deepseek-chat,combined,Number & Operations in Base Ten,1,0.44800000000000006
deepseek-chat,combined,Number & Operations in Base Ten,2,0.528
deepseek-chat,combined,Number & Operations in Base Ten,3,0.5093333333333333
deepseek-chat,combined,Number & Operations in Base Ten,4,0.32
deepseek-chat,combined,Number & Operations—Fractions,1,0.625
deepseek-chat,combined,Number & Operations—Fractions,2,0.586111111111111
deepseek-chat,combined,Number & Operations—Fractions,3,0.5277777777777778
deepseek-chat,combined,Number & Operations—Fractions,4,0.2916666666666667
deepseek-chat,combined,Operations & Algebraic Thinking,1,0.6833333333333333
