model,grade,prompt,student_id,n_missing,pearson_r
deepseek-chat,4,explicit_decision,3,2,0.9993474484081885
deepseek-chat,4,explicit_decision,11,1,0.9960278499846826
deepseek-chat,4,explicit_decision,2,3,0.995675889268093
deepseek-chat,4,explicit_decision,10,2,0.9942114442548663
deepseek-chat,4,explicit_decision,14,1,0.9853442442898366
deepseek-chat,4,explicit_decision,6,2,0.984982230453846
deepseek-chat,4,explicit_decision,13,1,0.9724298671121463
deepseek-chat,4,explicit_decision,1,3,0.9487922173287906
deepseek-chat,4,explicit_decision,12,2,0.9441466594958214
deepseek-chat,4,explicit_decision,8,3,0.9403929122498922
deepseek-chat,4,explicit_decision,7,1,0.9401773928687552
deepseek-chat,4,explicit_decision,9,2,0.9311911727802017
deepseek-chat,4,explicit_decision,5,2,0.8997092037549754
deepseek-chat,4,explicit_decision,4,3,0.8663499121809851
deepseek-chat,5,explicit_decision,1,2,1.0
deepseek-chat,5,explicit_decision,5,1,0.9999999999999999
deepseek-chat,5,explicit_decision,4,2,0.9990152631781919
deepseek-chat,5,explicit_decision,2,2,0.9933992677987827
deepseek-chat,5,explicit_decision,3,1,0.9837827088491458
deepseek-chat,5,explicit_decision,6,1,0.970725343394151
