grade,model,prompt,skill,k,r,replicate
4,deepseek-chat,explicit_decision,Measurement & Data,0,0.8333333333333334,0
4,deepseek-chat,explicit_decision,Number & Operations in Base Ten,0,0.6363636363636365,0
4,deepseek-chat,explicit_decision,Number & Operations—Fractions,0,0.9130434782608695,0
4,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,0,0.85,0
4,deepseek-chat,explicit_decision,Measurement & Data,1,0.041666666666666755,0
4,deepseek-chat,explicit_decision,Number & Operations in Base Ten,0,0.6363636363636365,0
4,deepseek-chat,explicit_decision,Number & Operations—Fractions,0,0.9565217391304348,0
4,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,0,0.8999999999999999,0
4,deepseek-chat,explicit_decision,Measurement & Data,0,0.8333333333333334,0
4,deepseek-chat,explicit_decision,Number & Operations in Base Ten,1,-0.0454545454545455,0
4,deepseek-chat,explicit_decision,Number & Operations—Fractions,0,0.9130434782608695,0
4,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,0,0.8,0
4,deepseek-chat,explicit_decision,Measurement & Data,1,0.0,0
4,deepseek-chat,explicit_decision,Number & Operations in Base Ten,1,-0.0454545454545455,0
4,deepseek-chat,explicit_decision,Number & Operations—Fractions,0,0.8695652173913043,0
4,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,0,0.8999999999999999,0
4,deepseek-chat,explicit_decision,Measurement & Data,0,0.875,0
4,deepseek-chat,explicit_decision,Number & Operations in Base Ten,0,0.5,0
4,deepseek-chat,explicit_decision,Number & Operations—Fractions,1,0.2173913043478261,0
4,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,0,0.85,0
4,deepseek-chat,explicit_decision,Measurement & Data,1,0.041666666666666755,0
4,deepseek-chat,explicit_decision,Number & Operations in Base Ten,0,0.5,0
4,deepseek-chat,explicit_decision,Number & Operations—Fractions,1,0.2173913043478261,0
4,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,0,0.8999999999999999,0
4,deepseek-chat,explicit_decision,Measurement & Data,0,0.8333333333333334,0
4,deepseek-chat,explicit_decision,Number & Operations in Base Ten,1,-0.0454545454545455,0
4,deepseek-chat,explicit_decision,Number & Operations—Fractions,1,0.2173913043478261,0
4,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,0,0.85,0
4,deepseek-chat,explicit_decision,Measurement & Data,1,0.0,0
4,deepseek-chat,explicit_decision,Number & Operations in Base Ten,1,0.0,0
4,deepseek-chat,explicit_decision,Number & Operations—Fractions,1,0.3478260869565218,0
4,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,0,0.8999999999999999,0
4,deepseek-chat,explicit_decision,Measurement & Data,0,0.8333333333333334,0
4,deepseek-chat,explicit_decision,Number & Operations in Base Ten,0,0.5909090909090909,0
4,deepseek-chat,explicit_decision,Number & Operations—Fractions,0,0.8695652173913043,0
4,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,1,0.050000000000000086,0
4,deepseek-chat,explicit_decision,Measurement & Data,1,0.041666666666666755,0
4,deepseek-chat,explicit_decision,Number & Operations in Base Ten,0,0.5,0
4,deepseek-chat,explicit_decision,Number & Operations—Fractions,0,0.8695652173913043,0
4,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,1,0.0,0
4,deepseek-chat,explicit_decision,Measurement & Data,0,0.7916666666666667,0
4,deepseek-chat,explicit_decision,Number & Operations in Base Ten,1,-0.0454545454545455,0
4,deepseek-chat,explicit_decision,Number & Operations—Fractions,0,0.8695652173913043,0
4,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,1,0.0,0
4,deepseek-chat,explicit_decision,Measurement & Data,1,0.041666666666666755,0
4,deepseek-chat,explicit_decision,Number & Operations in Base Ten,1,-0.0454545454545455,0
4,deepseek-chat,explicit_decision,Number & Operations—Fractions,0,0.9130434782608695,0
4,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,1,0.0,0
4,deepseek-chat,explicit_decision,Measurement & Data,0,0.7499999999999999,0
4,deepseek-chat,explicit_decision,Number & Operations in Base Ten,0,0.5,0
4,deepseek-chat,explicit_decision,Number & Operations—Fractions,1,0.2173913043478261,0
4,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,1,0.0,0
4,deepseek-chat,explicit_decision,Measurement & Data,1,0.041666666666666755,0
4,deepseek-chat,explicit_decision,Number & Operations in Base Ten,0,0.5909090909090909,0
4,deepseek-chat,explicit_decision,Number & Operations—Fractions,1,0.2173913043478261,0
4,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,1,0.0,0
4,deepseek-chat,explicit_decision,Measurement & Data,0,0.7499999999999999,0
4,deepseek-chat,explicit_decision,Number & Operations in Base Ten,1,-0.0454545454545455,0
4,deepseek-chat,explicit_decision,Number & Operations—Fractions,1,0.17391304347826095,0
4,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,1,0.0,0
4,claude-sonnet-4-5-20250929,explicit_decision,Measurement & Data,0,0.9565217391304348,0
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,0,0.8695652173913043,0
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,0,1.0,0
4,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,0,0.8421052631578947,0
4,claude-sonnet-4-5-20250929,explicit_decision,Measurement & Data,1,0.0,0
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,0,0.9565217391304347,0
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,0,1.0,0
4,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,0,0.7894736842105263,0
4,claude-sonnet-4-5-20250929,explicit_decision,Measurement & Data,0,0.9565217391304348,0
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,1,0.0,0
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,0,1.0,0
4,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,0,0.7894736842105263,0
