model,grade,prompt,skill_idx,q0,r_i,k,r_max,efficiency,offTarget_eff
claude-sonnet-4-5-20250929,4,explicit_decision,0,0.8846153846153846,0.9565217391304348,0,0.717391304347826,1.3333333333333335,
claude-sonnet-4-5-20250929,4,explicit_decision,1,0.92,0.8695652173913043,0,0.7282608695652174,1.1940298507462686,
claude-sonnet-4-5-20250929,4,explicit_decision,2,1.0,1.0,0,0.75,1.3333333333333333,
claude-sonnet-4-5-20250929,4,explicit_decision,3,0.7916666666666666,0.8421052631578947,0,0.6842105263157895,1.2307692307692306,
claude-sonnet-4-5-20250929,4,explicit_decision,0,0.8846153846153846,0.0,1,0.717391304347826,,0.0
claude-sonnet-4-5-20250929,4,explicit_decision,1,0.92,0.9565217391304347,0,0.7282608695652174,1.3134328358208953,
claude-sonnet-4-5-20250929,4,explicit_decision,2,1.0,1.0,0,0.75,1.3333333333333333,
claude-sonnet-4-5-20250929,4,explicit_decision,3,0.7916666666666666,0.7894736842105263,0,0.6842105263157895,1.1538461538461537,
claude-sonnet-4-5-20250929,4,explicit_decision,0,0.8846153846153846,0.9565217391304348,0,0.717391304347826,1.3333333333333335,
claude-sonnet-4-5-20250929,4,explicit_decision,1,0.92,0.0,1,0.7282608695652174,,0.0
claude-sonnet-4-5-20250929,4,explicit_decision,2,1.0,1.0,0,0.75,1.3333333333333333,
claude-sonnet-4-5-20250929,4,explicit_decision,3,0.7916666666666666,0.7894736842105263,0,0.6842105263157895,1.1538461538461537,
claude-sonnet-4-5-20250929,4,explicit_decision,0,0.8846153846153846,0.04347826086956519,1,0.717391304347826,,0.060606060606060566
claude-sonnet-4-5-20250929,4,explicit_decision,1,0.92,0.0,1,0.7282608695652174,,0.0
claude-sonnet-4-5-20250929,4,explicit_decision,2,1.0,1.0,0,0.75,1.3333333333333333,
claude-sonnet-4-5-20250929,4,explicit_decision,3,0.7916666666666666,0.8421052631578947,0,0.6842105263157895,1.2307692307692306,
claude-sonnet-4-5-20250929,4,explicit_decision,0,0.8846153846153846,0.9565217391304348,0,0.717391304347826,1.3333333333333335,
claude-sonnet-4-5-20250929,4,explicit_decision,1,0.92,0.9565217391304347,0,0.7282608695652174,1.3134328358208953,
claude-sonnet-4-5-20250929,4,explicit_decision,2,1.0,0.0,1,0.75,,0.0
claude-sonnet-4-5-20250929,4,explicit_decision,3,0.7916666666666666,0.7894736842105263,0,0.6842105263157895,1.1538461538461537,
claude-sonnet-4-5-20250929,4,explicit_decision,0,0.8846153846153846,0.0,1,0.717391304347826,,0.0
claude-sonnet-4-5-20250929,4,explicit_decision,1,0.92,0.8695652173913043,0,0.7282608695652174,1.1940298507462686,
claude-sonnet-4-5-20250929,4,explicit_decision,2,1.0,0.0,1,0.75,,0.0
claude-sonnet-4-5-20250929,4,explicit_decision,3,0.7916666666666666,0.7894736842105263,0,0.6842105263157895,1.1538461538461537,
claude-sonnet-4-5-20250929,4,explicit_decision,0,0.8846153846153846,0.9565217391304348,0,0.717391304347826,1.3333333333333335,
claude-sonnet-4-5-20250929,4,explicit_decision,1,0.92,-0.04347826086956513,1,0.7282608695652174,,0.059701492537313314
claude-sonnet-4-5-20250929,4,explicit_decision,2,1.0,0.20833333333333337,1,0.75,,0.27777777777777785
claude-sonnet-4-5-20250929,4,explicit_decision,3,0.7916666666666666,0.7368421052631579,0,0.6842105263157895,1.0769230769230769,
claude-sonnet-4-5-20250929,4,explicit_decision,0,0.8846153846153846,0.04347826086956519,1,0.717391304347826,,0.060606060606060566
claude-sonnet-4-5-20250929,4,explicit_decision,1,0.92,0.0,1,0.7282608695652174,,0.0
claude-sonnet-4-5-20250929,4,explicit_decision,2,1.0,0.04166666666666663,1,0.75,,0.055555555555555504
claude-sonnet-4-5-20250929,4,explicit_decision,3,0.7916666666666666,0.7894736842105263,0,0.6842105263157895,1.1538461538461537,
claude-sonnet-4-5-20250929,4,explicit_decision,0,0.8846153846153846,0.9565217391304348,0,0.717391304347826,1.3333333333333335,
claude-sonnet-4-5-20250929,4,explicit_decision,1,0.92,0.9565217391304347,0,0.7282608695652174,1.3134328358208953,
claude-sonnet-4-5-20250929,4,explicit_decision,2,1.0,1.0,0,0.75,1.3333333333333333,
claude-sonnet-4-5-20250929,4,explicit_decision,3,0.7916666666666666,0.0,1,0.6842105263157895,,0.0
claude-sonnet-4-5-20250929,4,explicit_decision,0,0.8846153846153846,0.04347826086956519,1,0.717391304347826,,0.060606060606060566
claude-sonnet-4-5-20250929,4,explicit_decision,1,0.92,0.9565217391304347,0,0.7282608695652174,1.3134328358208953,
claude-sonnet-4-5-20250929,4,explicit_decision,2,1.0,1.0,0,0.75,1.3333333333333333,
claude-sonnet-4-5-20250929,4,explicit_decision,3,0.7916666666666666,0.0,1,0.6842105263157895,,0.0
claude-sonnet-4-5-20250929,4,explicit_decision,0,0.8846153846153846,0.9565217391304348,0,0.717391304347826,1.3333333333333335,
claude-sonnet-4-5-20250929,4,explicit_decision,1,0.92,0.0,1,0.7282608695652174,,0.0
claude-sonnet-4-5-20250929,4,explicit_decision,2,1.0,1.0,0,0.75,1.3333333333333333,
