grade,model,prompt,skill,q0,q1,replicate
5,deepseek-chat,explicit_decision,Number & Operations in Base Ten,0.9696969696969697,0.24242424242424243,0
5,deepseek-chat,explicit_decision,Number & Operations—Fractions,0.8181818181818182,0.24242424242424243,0
5,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,0.8787878787878788,0.24242424242424243,0
5,deepseek-chat,explicit_decision,Number & Operations—Fractions,0.8181818181818182,0.36363636363636365,0
5,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,0.8787878787878788,0.36363636363636365,0
5,deepseek-chat,explicit_decision,Number & Operations in Base Ten,0.9696969696969697,0.3939393939393939,0
5,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,0.8787878787878788,0.3333333333333333,0
5,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,0.8787878787878788,0.3333333333333333,0
5,deepseek-chat,explicit_decision,Number & Operations in Base Ten,0.9696969696969697,0.36363636363636365,0
5,deepseek-chat,explicit_decision,Number & Operations—Fractions,0.8181818181818182,0.3939393939393939,0
5,deepseek-chat,explicit_decision,Number & Operations—Fractions,0.8181818181818182,0.24242424242424243,0
5,deepseek-chat,explicit_decision,Number & Operations in Base Ten,0.9696969696969697,0.36363636363636365,0
5,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,0.9393939393939394,0.09090909090909091,0
5,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,0.7575757575757576,0.06060606060606061,0
5,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,0.8787878787878788,0.18181818181818182,0
5,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,0.7575757575757576,0.12121212121212122,0
5,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,0.8787878787878788,0.24242424242424243,0
5,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,0.9393939393939394,0.09090909090909091,0
5,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,0.8787878787878788,0.21212121212121213,0
5,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,0.8787878787878788,0.18181818181818182,0
5,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,0.9393939393939394,0.06060606060606061,0
5,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,0.7575757575757576,0.030303030303030304,0
5,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,0.7575757575757576,0.15151515151515152,0
5,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,0.9393939393939394,0.12121212121212122,0
5,gpt-4o,explicit_decision,Number & Operations in Base Ten,0.696969696969697,0.12121212121212122,0
5,gpt-4o,explicit_decision,Number & Operations—Fractions,0.424242,0.3333333333333333,0
5,gpt-4o,explicit_decision,Operations & Algebraic Thinking,0.60606,0.2727272727272727,0
5,gpt-4o,explicit_decision,Number & Operations—Fractions,0.424242,0.3333333333333333,0
5,gpt-4o,explicit_decision,Operations & Algebraic Thinking,0.60606,0.24242424242424243,0
5,gpt-4o,explicit_decision,Number & Operations in Base Ten,0.696969696969697,0.09090909090909091,0
5,gpt-4o,explicit_decision,Operations & Algebraic Thinking,0.60606,0.21212121212121213,0
5,gpt-4o,explicit_decision,Operations & Algebraic Thinking,0.60606,0.21212121212121213,0
5,gpt-4o,explicit_decision,Number & Operations in Base Ten,0.696969696969697,0.09090909090909091,0
5,gpt-4o,explicit_decision,Number & Operations—Fractions,0.424242,0.2727272727272727,0
5,gpt-4o,explicit_decision,Number & Operations—Fractions,0.424242,0.30303030303030304,0
5,gpt-4o,explicit_decision,Number & Operations in Base Ten,0.696969696969697,0.12121212121212122,0
