model,grade,prompt,student_id,n_missing,pearson_r
gpt-4o,4,combined,4,3,0.9992953031315087
gpt-4o,4,combined,1,3,0.9908646446901004
gpt-4o,4,combined,8,3,0.9858654020165875
gpt-4o,4,combined,9,2,0.9851127401288309
gpt-4o,4,combined,12,2,0.9691588714646114
gpt-4o,4,combined,5,2,0.9610540608070212
gpt-4o,4,combined,6,2,0.9473562293778234
gpt-4o,4,combined,10,2,0.9384845705779452
gpt-4o,4,combined,13,1,0.9089779380668934
gpt-4o,4,combined,11,1,0.900667710479846
gpt-4o,4,combined,7,1,0.880735945164538
gpt-4o,4,combined,14,1,0.8523495267120371
gpt-4o,4,combined,3,2,0.8522108812430592
gpt-4o,4,combined,2,3,0.8429995262681114
gpt-4o,4,few_shot,12,2,0.9470918602357793
gpt-4o,4,few_shot,4,3,0.8423979467501977
gpt-4o,4,few_shot,13,1,0.8161544471731768
gpt-4o,4,few_shot,5,2,0.6201418409628614
gpt-4o,4,few_shot,6,2,0.5700363181063814
gpt-4o,4,few_shot,14,1,0.553089842304647
gpt-4o,4,few_shot,7,1,0.5327733401212367
gpt-4o,4,few_shot,8,3,0.26885842431932283
gpt-4o,4,few_shot,9,2,0.095883841674661
gpt-4o,4,few_shot,1,3,0.06306281843321013
gpt-4o,4,few_shot,2,3,-0.08110435049800864
gpt-4o,4,few_shot,10,2,-0.2973394185618067
gpt-4o,4,few_shot,3,2,-0.3995068918152634
gpt-4o,4,few_shot,11,1,-0.7269919695725985
gpt-4o,4,rule_based,4,3,0.9896068584470055
gpt-4o,4,rule_based,12,2,0.9658162575919725
gpt-4o,4,rule_based,8,3,0.9498632894525224
gpt-4o,4,rule_based,5,2,0.9082250484909603
gpt-4o,4,rule_based,6,2,0.9076809403731622
gpt-4o,4,rule_based,9,2,0.9020064778676091
gpt-4o,4,rule_based,13,1,0.895418925476205
gpt-4o,4,rule_based,7,1,0.8772599709797573
gpt-4o,4,rule_based,11,1,0.8501097077645567
gpt-4o,4,rule_based,10,2,0.8322491094175493
gpt-4o,4,rule_based,14,1,0.80645147273
gpt-4o,4,rule_based,1,3,0.7997741585469392
gpt-4o,4,rule_based,3,2,0.7716835475505591
gpt-4o,4,rule_based,2,3,0.554529014429012
gpt-4o,5,combined,5,1,0.9959913120425656
gpt-4o,5,combined,2,2,0.9878291611472623
gpt-4o,5,combined,4,2,0.9717007084400586
gpt-4o,5,combined,1,2,0.9375093422553951
gpt-4o,5,combined,3,1,0.5153817609704593
gpt-4o,5,combined,6,1,0.1889822365046136
gpt-4o,5,few_shot,5,1,0.9285714285714284
gpt-4o,5,few_shot,4,2,0.915196271622604
gpt-4o,5,few_shot,1,2,0.8420337022477948
gpt-4o,5,few_shot,3,1,0.04220749559125123
gpt-4o,5,few_shot,6,1,-0.15021044203152745
gpt-4o,5,few_shot,2,2,-0.9976086055845277
gpt-4o,5,rule_based,1,2,0.9996339901054733
gpt-4o,5,rule_based,4,2,0.9991088665985876
gpt-4o,5,rule_based,2,2,0.9969151597447762
gpt-4o,5,rule_based,5,1,0.9924336870116701
gpt-4o,5,rule_based,3,1,0.7559289460184545
gpt-4o,5,rule_based,6,1,0.7559289460184544
