model,skill,n_missing,acc_S
claude-sonnet-4-5-20250929,Measurement & Data,1,0.3
claude-sonnet-4-5-20250929,Measurement & Data,2,0.41794871794871796
claude-sonnet-4-5-20250929,Measurement & Data,3,0.358974358974359
claude-sonnet-4-5-20250929,Measurement & Data,4,0.3076923076923077
claude-sonnet-4-5-20250929,Number & Operations in Base Ten,1,0.08
claude-sonnet-4-5-20250929,Number & Operations in Base Ten,2,0.24266666666666667
claude-sonnet-4-5-20250929,Number & Operations in Base Ten,3,0.19466666666666665
claude-sonnet-4-5-20250929,Number & Operations in Base Ten,4,0.24
claude-sonnet-4-5-20250929,Number & Operations—Fractions,1,0.041666666666666664
claude-sonnet-4-5-20250929,Number & Operations—Fractions,2,0.041666666666666664
claude-sonnet-4-5-20250929,Number & Operations—Fractions,3,0.041666666666666664
claude-sonnet-4-5-20250929,Number & Operations—Fractions,4,0.041666666666666664
claude-sonnet-4-5-20250929,Operations & Algebraic Thinking,1,0.21666666666666665
claude-sonnet-4-5-20250929,Operations & Algebraic Thinking,2,0.2722222222222222
claude-sonnet-4-5-20250929,Operations & Algebraic Thinking,3,0.28888888888888886
claude-sonnet-4-5-20250929,Operations & Algebraic Thinking,4,0.25
deepseek-chat,Measurement & Data,1,0.5076923076923077
deepseek-chat,Measurement & Data,2,0.5102564102564102
deepseek-chat,Measurement & Data,3,0.6102564102564102
deepseek-chat,Measurement & Data,4,0.23076923076923078
deepseek-chat,Number & Operations in Base Ten,1,0.44800000000000006
deepseek-chat,Number & Operations in Base Ten,2,0.528
deepseek-chat,Number & Operations in Base Ten,3,0.5093333333333333
deepseek-chat,Number & Operations in Base Ten,4,0.32
deepseek-chat,Number & Operations—Fractions,1,0.625
deepseek-chat,Number & Operations—Fractions,2,0.586111111111111
deepseek-chat,Number & Operations—Fractions,3,0.5277777777777778
deepseek-chat,Number & Operations—Fractions,4,0.2916666666666667
deepseek-chat,Operations & Algebraic Thinking,1,0.6833333333333333
deepseek-chat,Operations & Algebraic Thinking,2,0.6527777777777778
deepseek-chat,Operations & Algebraic Thinking,3,0.6333333333333333
deepseek-chat,Operations & Algebraic Thinking,4,0.5833333333333334
gpt-4o,Measurement & Data,1,0.16153846153846155
gpt-4o,Measurement & Data,2,0.16923076923076924
gpt-4o,Measurement & Data,3,0.1948717948717949
gpt-4o,Measurement & Data,4,0.23076923076923078
gpt-4o,Number & Operations in Base Ten,1,0.336
gpt-4o,Number & Operations in Base Ten,2,0.23466666666666666
gpt-4o,Number & Operations in Base Ten,3,0.16266666666666665
gpt-4o,Number & Operations in Base Ten,4,0.2
gpt-4o,Number & Operations—Fractions,1,0.2916666666666667
gpt-4o,Number & Operations—Fractions,2,0.3111111111111111
gpt-4o,Number & Operations—Fractions,3,0.24444444444444444
gpt-4o,Number & Operations—Fractions,4,0.16666666666666666
gpt-4o,Operations & Algebraic Thinking,1,0.23333333333333334
gpt-4o,Operations & Algebraic Thinking,2,0.1472222222222222
gpt-4o,Operations & Algebraic Thinking,3,0.1638888888888889
gpt-4o,Operations & Algebraic Thinking,4,0.16666666666666666
