grade,model,prompt,student_id,skill,k,observed_acc
4,claude-sonnet-4-5-20250929,explicit_decision,7,Measurement & Data,1,0.8461538461538461
4,claude-sonnet-4-5-20250929,explicit_decision,7,Number & Operations in Base Ten,1,0.92
4,claude-sonnet-4-5-20250929,explicit_decision,7,Number & Operations—Fractions,1,0.9583333333333334
4,claude-sonnet-4-5-20250929,explicit_decision,7,Operations & Algebraic Thinking,0,0.16666666666666666
4,claude-sonnet-4-5-20250929,explicit_decision,11,Measurement & Data,1,0.8461538461538461
4,claude-sonnet-4-5-20250929,explicit_decision,11,Number & Operations in Base Ten,1,0.92
4,claude-sonnet-4-5-20250929,explicit_decision,11,Number & Operations—Fractions,0,0.0
4,claude-sonnet-4-5-20250929,explicit_decision,11,Operations & Algebraic Thinking,1,0.75
4,claude-sonnet-4-5-20250929,explicit_decision,13,Measurement & Data,1,0.8846153846153846
4,claude-sonnet-4-5-20250929,explicit_decision,13,Number & Operations in Base Ten,0,0.04
4,claude-sonnet-4-5-20250929,explicit_decision,13,Number & Operations—Fractions,1,1.0
4,claude-sonnet-4-5-20250929,explicit_decision,13,Operations & Algebraic Thinking,1,0.7916666666666666
4,claude-sonnet-4-5-20250929,explicit_decision,14,Measurement & Data,0,0.07692307692307693
4,claude-sonnet-4-5-20250929,explicit_decision,14,Number & Operations in Base Ten,1,0.92
4,claude-sonnet-4-5-20250929,explicit_decision,14,Number & Operations—Fractions,1,0.9583333333333334
4,claude-sonnet-4-5-20250929,explicit_decision,14,Operations & Algebraic Thinking,1,0.7916666666666666
