grade,model,prompt,student_id,skill,k,observed_acc
4,deepseek-chat,explicit_decision,7,Measurement & Data,1,0.9615384615384616
4,deepseek-chat,explicit_decision,7,Number & Operations in Base Ten,1,0.52
4,deepseek-chat,explicit_decision,7,Number & Operations—Fractions,1,0.625
4,deepseek-chat,explicit_decision,7,Operations & Algebraic Thinking,0,0.08333333333333333
4,deepseek-chat,explicit_decision,11,Measurement & Data,1,0.8846153846153846
4,deepseek-chat,explicit_decision,11,Number & Operations in Base Ten,1,0.36
4,deepseek-chat,explicit_decision,11,Number & Operations—Fractions,0,0.125
4,deepseek-chat,explicit_decision,11,Operations & Algebraic Thinking,1,0.625
4,deepseek-chat,explicit_decision,13,Measurement & Data,1,0.8846153846153846
4,deepseek-chat,explicit_decision,13,Number & Operations in Base Ten,0,0.2
4,deepseek-chat,explicit_decision,13,Number & Operations—Fractions,1,0.6666666666666666
4,deepseek-chat,explicit_decision,13,Operations & Algebraic Thinking,1,0.6666666666666666
4,deepseek-chat,explicit_decision,14,Measurement & Data,0,0.11538461538461539
4,deepseek-chat,explicit_decision,14,Number & Operations in Base Ten,1,0.28
4,deepseek-chat,explicit_decision,14,Number & Operations—Fractions,1,0.5416666666666666
4,deepseek-chat,explicit_decision,14,Operations & Algebraic Thinking,1,0.625
