grade,model,prompt,skill,k,IS_acc,PS_acc
4,claude-sonnet-4-5-20250929,explicit_decision,Measurement & Data,0,0.04326923076923077,0.8846153846153846
4,claude-sonnet-4-5-20250929,explicit_decision,Measurement & Data,1,0.8626373626373626,0.8846153846153845
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,0,0.065,0.92
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,1,0.9257142857142858,0.92
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,0,0.0,1.0
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,1,0.9583333333333333,1.0
4,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,0,0.16145833333333331,0.7916666666666666
4,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,1,0.7738095238095237,0.7916666666666666
4,deepseek-chat,explicit_decision,Measurement & Data,0,0.125,0.6153846153846154
4,deepseek-chat,explicit_decision,Measurement & Data,1,0.879120879120879,0.6153846153846155
4,deepseek-chat,explicit_decision,Number & Operations in Base Ten,0,0.28500000000000003,0.24
4,deepseek-chat,explicit_decision,Number & Operations in Base Ten,1,0.49714285714285716,0.24
4,deepseek-chat,explicit_decision,Number & Operations—Fractions,0,0.13020833333333331,0.4166666666666667
4,deepseek-chat,explicit_decision,Number & Operations—Fractions,1,0.6607142857142857,0.4166666666666667
4,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,0,0.09375,0.625
4,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,1,0.6904761904761905,0.625
4,gpt-4o,explicit_decision,Measurement & Data,0,0.2548076923076923,0.6923076923076923
4,gpt-4o,explicit_decision,Measurement & Data,1,0.5769230769230769,0.6923076923076923
4,gpt-4o,explicit_decision,Number & Operations in Base Ten,0,0.195,0.56
4,gpt-4o,explicit_decision,Number & Operations in Base Ten,1,0.5314285714285715,0.56
4,gpt-4o,explicit_decision,Number & Operations—Fractions,0,0.38020833333333337,0.75
4,gpt-4o,explicit_decision,Number & Operations—Fractions,1,0.6488095238095238,0.75
4,gpt-4o,explicit_decision,Operations & Algebraic Thinking,0,0.10416666666666666,0.625
4,gpt-4o,explicit_decision,Operations & Algebraic Thinking,1,0.6607142857142857,0.625
5,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,0,0.09090909090909091,0.9393939393939394
5,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,1,0.9393939393939394,0.9393939393939394
5,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,0,0.09090909090909091,0.7575757575757576
5,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,1,0.7272727272727272,0.7575757575757575
5,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,0,0.20454545454545456,0.8787878787878788
5,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,1,0.8585858585858586,0.8787878787878788
5,deepseek-chat,explicit_decision,Number & Operations in Base Ten,0,0.19696969696969696,0.24242424242424243
5,deepseek-chat,explicit_decision,Number & Operations in Base Ten,1,0.7575757575757575,0.24242424242424243
5,deepseek-chat,explicit_decision,Number & Operations—Fractions,0,0.24242424242424243,0.09090909090909091
5,deepseek-chat,explicit_decision,Number & Operations—Fractions,1,0.23232323232323235,0.0909090909090909
5,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,0,0.23484848484848486,0.48484848484848486
5,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,1,0.7676767676767676,0.48484848484848486
5,gpt-4o,explicit_decision,Number & Operations in Base Ten,0,0.10606060606060606,0.696969696969697
5,gpt-4o,explicit_decision,Number & Operations in Base Ten,1,0.7272727272727272,0.6969696969696969
5,gpt-4o,explicit_decision,Number & Operations—Fractions,0,0.3106060606060606,0.3333333333333333
5,gpt-4o,explicit_decision,Number & Operations—Fractions,1,0.3636363636363636,0.3333333333333333
5,gpt-4o,explicit_decision,Operations & Algebraic Thinking,0,0.23484848484848486,0.5757575757575758
5,gpt-4o,explicit_decision,Operations & Algebraic Thinking,1,0.595959595959596,0.5757575757575758
