grade,model,prompt,student_id,skill,k,observed_acc
4,claude-sonnet-4-5-20250929,combined,7,Measurement & Data,1,0.43076923076923074
4,claude-sonnet-4-5-20250929,combined,7,Number & Operations in Base Ten,1,0.43999999999999995
4,claude-sonnet-4-5-20250929,combined,7,Number & Operations—Fractions,1,0.5
4,claude-sonnet-4-5-20250929,combined,7,Operations & Algebraic Thinking,0,0.21666666666666665
4,claude-sonnet-4-5-20250929,few_shot,7,Measurement & Data,1,0.7538461538461538
4,claude-sonnet-4-5-20250929,few_shot,7,Number & Operations in Base Ten,1,0.776
4,claude-sonnet-4-5-20250929,few_shot,7,Number & Operations—Fractions,1,1.0
4,claude-sonnet-4-5-20250929,few_shot,7,Operations & Algebraic Thinking,0,0.375
4,claude-sonnet-4-5-20250929,rule_based,7,Measurement & Data,1,0.23076923076923078
4,claude-sonnet-4-5-20250929,rule_based,7,Number & Operations in Base Ten,1,0.048
4,claude-sonnet-4-5-20250929,rule_based,7,Number & Operations—Fractions,1,0.5583333333333333
4,claude-sonnet-4-5-20250929,rule_based,7,Operations & Algebraic Thinking,0,0.2416666666666667
4,claude-sonnet-4-5-20250929,combined,11,Measurement & Data,1,0.4769230769230769
4,claude-sonnet-4-5-20250929,combined,11,Number & Operations in Base Ten,1,0.336
4,claude-sonnet-4-5-20250929,combined,11,Number & Operations—Fractions,0,0.041666666666666664
4,claude-sonnet-4-5-20250929,combined,11,Operations & Algebraic Thinking,1,0.3916666666666667
4,claude-sonnet-4-5-20250929,few_shot,11,Measurement & Data,1,0.8538461538461538
4,claude-sonnet-4-5-20250929,few_shot,11,Number & Operations in Base Ten,1,0.68
4,claude-sonnet-4-5-20250929,few_shot,11,Number & Operations—Fractions,0,0.8333333333333334
4,claude-sonnet-4-5-20250929,few_shot,11,Operations & Algebraic Thinking,1,0.7833333333333333
4,claude-sonnet-4-5-20250929,rule_based,11,Measurement & Data,1,0.3461538461538462
4,claude-sonnet-4-5-20250929,rule_based,11,Number & Operations in Base Ten,1,0.10400000000000001
4,claude-sonnet-4-5-20250929,rule_based,11,Number & Operations—Fractions,0,0.05833333333333333
4,claude-sonnet-4-5-20250929,rule_based,11,Operations & Algebraic Thinking,1,0.4333333333333334
4,claude-sonnet-4-5-20250929,combined,13,Measurement & Data,1,0.4
4,claude-sonnet-4-5-20250929,combined,13,Number & Operations in Base Ten,0,0.07999999999999999
4,claude-sonnet-4-5-20250929,combined,13,Number & Operations—Fractions,1,0.7
4,claude-sonnet-4-5-20250929,combined,13,Operations & Algebraic Thinking,1,0.5
4,claude-sonnet-4-5-20250929,few_shot,13,Measurement & Data,1,0.676923076923077
4,claude-sonnet-4-5-20250929,few_shot,13,Number & Operations in Base Ten,0,0.48
4,claude-sonnet-4-5-20250929,few_shot,13,Number & Operations—Fractions,1,1.0
4,claude-sonnet-4-5-20250929,few_shot,13,Operations & Algebraic Thinking,1,0.75
4,claude-sonnet-4-5-20250929,rule_based,13,Measurement & Data,1,0.38461538461538464
4,claude-sonnet-4-5-20250929,rule_based,13,Number & Operations in Base Ten,0,0.20800000000000002
4,claude-sonnet-4-5-20250929,rule_based,13,Number & Operations—Fractions,1,0.6333333333333333
4,claude-sonnet-4-5-20250929,rule_based,13,Operations & Algebraic Thinking,1,0.475
4,claude-sonnet-4-5-20250929,combined,14,Measurement & Data,0,0.3
4,claude-sonnet-4-5-20250929,combined,14,Number & Operations in Base Ten,1,0.616
4,claude-sonnet-4-5-20250929,combined,14,Number & Operations—Fractions,1,0.9083333333333332
4,claude-sonnet-4-5-20250929,combined,14,Operations & Algebraic Thinking,1,0.4166666666666667
4,claude-sonnet-4-5-20250929,few_shot,14,Measurement & Data,0,0.8076923076923077
4,claude-sonnet-4-5-20250929,few_shot,14,Number & Operations in Base Ten,1,0.68
4,claude-sonnet-4-5-20250929,few_shot,14,Number & Operations—Fractions,1,1.0
4,claude-sonnet-4-5-20250929,few_shot,14,Operations & Algebraic Thinking,1,0.8083333333333332
4,claude-sonnet-4-5-20250929,rule_based,14,Measurement & Data,0,0.2846153846153846
4,claude-sonnet-4-5-20250929,rule_based,14,Number & Operations in Base Ten,1,0.23199999999999998
4,claude-sonnet-4-5-20250929,rule_based,14,Number & Operations—Fractions,1,0.5916666666666668
4,claude-sonnet-4-5-20250929,rule_based,14,Operations & Algebraic Thinking,1,0.55
