grade,model,prompt,student_id,n_forget,IS_ACC_R,IS_ACC_F,PS_ACC_R,PS_ACC_F
4,claude-sonnet-4-5-20250929,explicit_decision,1,3,0.8846153846153846,0.06888888888888889,0.8846153846153846,0.9038888888888889
4,claude-sonnet-4-5-20250929,explicit_decision,2,3,0.92,0.06837606837606837,0.92,0.892094017094017
4,claude-sonnet-4-5-20250929,explicit_decision,3,2,0.8830769230769231,0.0625,0.9023076923076923,0.8958333333333333
4,claude-sonnet-4-5-20250929,explicit_decision,4,3,1.0,0.0817094017094017,1.0,0.8654273504273503
4,claude-sonnet-4-5-20250929,explicit_decision,5,2,0.9423076923076923,0.1433333333333333,0.9423076923076923,0.8558333333333333
4,claude-sonnet-4-5-20250929,explicit_decision,6,2,0.8758333333333332,0.1233974358974359,0.96,0.8381410256410255
4,claude-sonnet-4-5-20250929,explicit_decision,7,1,0.9081623931623932,0.16666666666666666,0.9348717948717948,0.7916666666666666
4,claude-sonnet-4-5-20250929,explicit_decision,8,3,0.7916666666666666,0.026153846153846156,0.7916666666666666,0.9348717948717948
4,claude-sonnet-4-5-20250929,explicit_decision,9,2,0.8189102564102564,0.02,0.8381410256410255,0.96
4,claude-sonnet-4-5-20250929,explicit_decision,10,2,0.835,0.019230769230769232,0.8558333333333333,0.9423076923076923
4,claude-sonnet-4-5-20250929,explicit_decision,11,1,0.8387179487179487,0.0,0.8654273504273503,1.0
4,claude-sonnet-4-5-20250929,explicit_decision,12,2,0.875,0.05923076923076923,0.8958333333333333,0.9023076923076923
4,claude-sonnet-4-5-20250929,explicit_decision,13,1,0.892094017094017,0.04,0.892094017094017,0.92
4,claude-sonnet-4-5-20250929,explicit_decision,14,1,0.89,0.07692307692307693,0.9038888888888889,0.8846153846153846
4,gpt-4o,explicit_decision,1,3,0.5769230769230769,0.2738888888888889,0.6923076923076923,0.645
4,gpt-4o,explicit_decision,2,3,0.52,0.2574786324786325,0.56,0.6891025641025642
4,gpt-4o,explicit_decision,3,2,0.5676923076923077,0.25,0.6261538461538462,0.6875
4,gpt-4o,explicit_decision,4,3,0.625,0.197008547008547,0.75,0.6257692307692307
4,gpt-4o,explicit_decision,5,2,0.5801282051282051,0.14250000000000002,0.7211538461538461,0.5925
4,gpt-4o,explicit_decision,6,2,0.655,0.15544871794871795,0.655,0.6586538461538461
4,gpt-4o,explicit_decision,7,1,0.6006837606837606,0.08333333333333333,0.6674358974358974,0.625
4,gpt-4o,explicit_decision,8,3,0.5833333333333334,0.2808547008547008,0.625,0.6674358974358974
4,gpt-4o,explicit_decision,9,2,0.6233974358974359,0.28833333333333333,0.6586538461538461,0.655
4,gpt-4o,explicit_decision,10,2,0.6341666666666668,0.32371794871794873,0.5925,0.7211538461538461
4,gpt-4o,explicit_decision,11,1,0.533931623931624,0.375,0.6257692307692307,0.75
4,gpt-4o,explicit_decision,12,2,0.6875,0.25384615384615383,0.6875,0.6261538461538462
4,gpt-4o,explicit_decision,13,1,0.6228632478632479,0.12,0.6891025641025642,0.56
4,gpt-4o,explicit_decision,14,1,0.6172222222222222,0.19230769230769232,0.645,0.6923076923076923
4,deepseek-chat,explicit_decision,1,3,0.8846153846153846,0.14944444444444444,0.6153846153846154,0.4272222222222222
4,deepseek-chat,explicit_decision,2,3,0.48,0.08333333333333333,0.24,0.5523504273504274
4,deepseek-chat,explicit_decision,3,2,0.7030769230769232,0.125,0.4276923076923077,0.5208333333333334
4,deepseek-chat,explicit_decision,4,3,0.7083333333333334,0.15854700854700857,0.4166666666666667,0.49346153846153845
4,deepseek-chat,explicit_decision,5,2,0.7772435897435898,0.20166666666666666,0.5160256410256411,0.4325
4,deepseek-chat,explicit_decision,6,2,0.6541666666666667,0.08012820512820512,0.32833333333333337,0.6201923076923077
4,deepseek-chat,explicit_decision,7,1,0.7021794871794872,0.08333333333333333,0.42401709401709403,0.625
4,deepseek-chat,explicit_decision,8,3,0.75,0.18576923076923077,0.625,0.42401709401709403
4,deepseek-chat,explicit_decision,9,2,0.8189102564102564,0.2633333333333333,0.6201923076923077,0.32833333333333337
4,deepseek-chat,explicit_decision,10,2,0.6941666666666667,0.1971153846153846,0.4325,0.5160256410256411
4,deepseek-chat,explicit_decision,11,1,0.6232051282051282,0.125,0.49346153846153845,0.4166666666666667
4,deepseek-chat,explicit_decision,12,2,0.6666666666666666,0.2776923076923077,0.5208333333333334,0.4276923076923077
4,deepseek-chat,explicit_decision,13,1,0.7393162393162392,0.2,0.5523504273504274,0.24
4,deepseek-chat,explicit_decision,14,1,0.4822222222222223,0.11538461538461539,0.4272222222222222,0.6153846153846154
5,claude-sonnet-4-5-20250929,explicit_decision,1,2,0.9393939393939394,0.18181818181818182,0.9393939393939394,0.8181818181818181
5,claude-sonnet-4-5-20250929,explicit_decision,2,2,0.7272727272727273,0.15151515151515152,0.7575757575757576,0.9090909090909092
5,claude-sonnet-4-5-20250929,explicit_decision,3,1,0.8484848484848485,0.18181818181818182,0.8484848484848485,0.8787878787878788
5,claude-sonnet-4-5-20250929,explicit_decision,4,2,0.8787878787878788,0.045454545454545456,0.8787878787878788,0.8484848484848485
5,claude-sonnet-4-5-20250929,explicit_decision,5,1,0.893939393939394,0.15151515151515152,0.9090909090909092,0.7575757575757576
5,claude-sonnet-4-5-20250929,explicit_decision,6,1,0.7727272727272727,0.12121212121212122,0.8181818181818181,0.9393939393939394
5,gpt-4o,explicit_decision,1,2,0.7878787878787878,0.28787878787878785,0.696969696969697,0.4545454545454546
5,gpt-4o,explicit_decision,2,2,0.36363636363636365,0.15151515151515152,0.3333333333333333,0.6363636363636365
