grade,prompt,student_id,n_missing,pearson_r
4,explicit_decision,8,3,0.99883344194168
4,explicit_decision,9,2,0.9982152093771872
4,explicit_decision,5,2,0.9939877887142012
4,explicit_decision,3,2,0.992264754049439
4,explicit_decision,7,1,0.9922078037621775
4,explicit_decision,4,3,0.9915480873623786
4,explicit_decision,10,2,0.9887791686177194
4,explicit_decision,11,1,0.9865051114692772
4,explicit_decision,2,3,0.9862867061840611
4,explicit_decision,1,3,0.9851673209637625
4,explicit_decision,14,1,0.9849780549626544
4,explicit_decision,13,1,0.980577769106251
4,explicit_decision,12,2,0.9767120034674815
4,explicit_decision,6,2,0.9756635335395016
